Stratno | Stratigraphic Name | Entity Number | Province Name 
9589|Kinevans Sandstone|467204|Wolfe Basin
25973|Kings Legend Amphibolite Member|467256|Arunta Orogen
9623|Kinmore Group|21914|Bonaparte Basin
9623|Kinmore Group|22075|Petrel Sub-basin
9623|Kinmore Group|26965|Malita Graben
9623|Kinmore Group|28450|Ashmore Platform
9623|Kinmore Group|28590|Sahul Platform
9623|Kinmore Group|33446|Londonderry High
33373|Kombolgie Subgroup|408323|Pine Creek Region
24341|Koolpinyah Dolomite|512263|Pine Creek Orogen
72419|Koonoonyeri Granite|364771|Aileron Province
72419|Koonoonyeri Granite|467256|Arunta Orogen
24345|Kudinga Basalt|468041|Davenport Province
75502|Kukalak Gneiss|512263|Pine Creek Orogen
33810|Kulail Sandstone|22078|Amadeus Basin
9896|Kulshill Group|21914|Bonaparte Basin
9896|Kulshill Group|22075|Petrel Sub-basin
9896|Kulshill Group|359040|Arafura Basin
9923|Kuriyippi Formation|21914|Bonaparte Basin
9923|Kuriyippi Formation|22075|Petrel Sub-basin
9923|Kuriyippi Formation|28450|Ashmore Platform
9923|Kuriyippi Formation|28590|Sahul Platform
9923|Kuriyippi Formation|33446|Londonderry High
10002|Lady Loretta Formation|467256|Arunta Orogen
10002|Lady Loretta Formation|556523|Mount Isa Orogen
10002|Lady Loretta Formation|559187|Century Domain
10002|Lady Loretta Formation|559201|Mount Oxide Domain
10045|Lake Frome Group|529788|Arrowie Basin
28264|Lake Surprise Sandstone|22109|Wiso Basin
72364|Lamboo Complex - dolerite|429252|Lamboo Province
34216|Laminaria Formation|21914|Bonaparte Basin
34216|Laminaria Formation|28590|Sahul Platform
69780|Lander Rock Formation|364771|Aileron Province
69780|Lander Rock Formation|467256|Arunta Orogen
10161|Langfield Group|21914|Bonaparte Basin
10161|Langfield Group|22075|Petrel Sub-basin
10161|Langfield Group|28315|Vulcan Sub-basin
10163|Langford Gneiss|467256|Arunta Orogen
10170|Langra Formation|22078|Amadeus Basin
10184|Larapinta Group|22078|Amadeus Basin
24355|Laughlen metamorphics|467256|Arunta Orogen
10261|Lawn Hill Formation|556523|Mount Isa Orogen
10261|Lawn Hill Formation|559187|Century Domain
10289|Ledan Schist|364771|Aileron Province
10289|Ledan Schist|467256|Arunta Orogen
10294|Lees Sandstone|550572|Carpentaria Basin
42373|Leisler Metamorphics|364772|Warumpi Province
42373|Leisler Metamorphics|467256|Arunta Orogen
10337|Lena Quartzite Member|556523|Mount Isa Orogen
10337|Lena Quartzite Member|559196|Leichhardt River Domain
10365|Lewis Range Sandstone|467255|Murraba Basin
75948|Lilyarba Mafics|512263|Pine Creek Orogen
26689|Limbla Member|22078|Amadeus Basin
10414|Limbunya Group|467208|Birrindudu Basin
41847|Lizard Schist|364772|Warumpi Province
41847|Lizard Schist|467256|Arunta Orogen
10515|Ljiltera Member|22078|Amadeus Basin
10668|Lothari Hill Sandstone|22109|Wiso Basin
22219|Lovely Hill Schist|467256|Arunta Orogen
10686|Loves Creek Member|22078|Amadeus Basin
10840|Lucas Formation|22114|Canning Basin
42372|Lyell Brown Granite|364772|Warumpi Province
42372|Lyell Brown Granite|467256|Arunta Orogen
10952|Mackunda Formation|529302|Eromanga Basin
10952|Mackunda Formation|550572|Carpentaria Basin
29769|Madderns Yard Metamorphic Complex|364772|Warumpi Province
29769|Madderns Yard Metamorphic Complex|467256|Arunta Orogen
72658|Madderns Yard Metamorphic Complex - granite|467256|Arunta Orogen
33044|Madderns Yard Suite|467256|Arunta Orogen
23751|Malita Formation|21914|Bonaparte Basin
23751|Malita Formation|22075|Petrel Sub-basin
23751|Malita Formation|26965|Malita Graben
23751|Malita Formation|28315|Vulcan Sub-basin
23751|Malita Formation|28590|Sahul Platform
23751|Malita Formation|33446|Londonderry High
23751|Malita Formation|33676|Troubadour Terrace
38423|Manga Mauda Member|467256|Arunta Orogen
25203|Manton Group|512263|Pine Creek Orogen
27478|Mapata Gneiss|467256|Arunta Orogen
26015|Marligur Member|22330|Money Shoal Basin
11361|Marraba Volcanics|556523|Mount Isa Orogen
11361|Marraba Volcanics|559199|Mitakoodi Domain
11378|Marshall Granite|467256|Arunta Orogen
26019|Mascotte Gneiss Complex|467256|Arunta Orogen
11476|Maurice Formation|22078|Amadeus Basin
11512|McArthur Group|512264|McArthur Basin
26731|McKinlay Granite|512263|Pine Creek Orogen
11575|McNamara Group|556523|Mount Isa Orogen
30958|Melville Bay Metamorphics|559170|Arnhem Province
11649|Mendip Metamorphics|364771|Aileron Province
11649|Mendip Metamorphics|467256|Arunta Orogen
11667|Mereenie Sandstone|22078|Amadeus Basin
11835|Milingimbi Formation|359040|Arafura Basin
11862|Milligans Formation|21914|Bonaparte Basin
11862|Milligans Formation|22075|Petrel Sub-basin
11911|Minglo Granite|512263|Pine Creek Orogen
72365|Minglo Granite - phase 1|512263|Pine Creek Orogen
72366|Minglo Granite - phase 2|512263|Pine Creek Orogen
25243|Mirarrmina Complex|559170|Arnhem Province
12126|Montara Formation|21914|Bonaparte Basin
12126|Montara Formation|28315|Vulcan Sub-basin
12130|Montejinni Limestone|22109|Wiso Basin
72393|Montejinni Limestone, Hooker Creek Formation|22109|Wiso Basin
12250|Moonkinu Sandstone|21914|Bonaparte Basin
25260|Moonlight Valley Tillite|467204|Wolfe Basin
12299|Mooroongga Formation|359040|Arafura Basin
12305|Mopunga Group|22109|Wiso Basin
12305|Mopunga Group|22113|Ngalia Basin
12305|Mopunga Group|529556|Georgina Basin
25731|Mordor Igneous Complex|42174|Mordor Nickel (prospective) Metallogenic Province
25731|Mordor Igneous Complex|467256|Arunta Orogen
24389|Mount Airy Orthogneiss|467256|Arunta Orogen
26755|Mount Bleechmore Granulite|467256|Arunta Orogen
12528|Mount Bonner Sandstone|512264|McArthur Basin
27066|Mount Bonnie Formation|408323|Pine Creek Region
12580|Mount Chapple Metamorphics|364771|Aileron Province
12580|Mount Chapple Metamorphics|467256|Arunta Orogen
35400|Mount Charles Formation|467226|Tanami Orogen
12609|Mount Currie Conglomerate|22078|Amadeus Basin
24395|Mount Davenport Diamictite Member|22113|Ngalia Basin
27660|Mount Deane Volcanic Member|512263|Pine Creek Orogen
23816|Mount Dobbie Granite|467256|Arunta Orogen
12639|Mount Doreen Formation|22113|Ngalia Basin
41952|Mount Dunkin Schist|467256|Arunta Orogen
12672|Mount Eclipse Sandstone|22113|Ngalia Basin
41953|Mount Freeling Schist|467256|Arunta Orogen
12760|Mount Goodwin Formation|21914|Bonaparte Basin
12760|Mount Goodwin Formation|22075|Petrel Sub-basin
12760|Mount Goodwin Formation|26965|Malita Graben
12760|Mount Goodwin Formation|28315|Vulcan Sub-basin
12760|Mount Goodwin Formation|28450|Ashmore Platform
12760|Mount Goodwin Formation|28590|Sahul Platform
12760|Mount Goodwin Formation|33446|Londonderry High
12786|Mount Hay Granulite|467256|Arunta Orogen
12798|Mount Hooper Sandstone|512263|Pine Creek Orogen
