Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
15442|Poolowanna Formation|24204|5|Briefly described|p266, 263 Fig.4, p266 Fig.7|Early Jurassic|Early Jurassic|Overlain unconformably by Algebuckina Formation. Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|24210|5|Briefly described|p132, p133 Fig. 2|Middle Jurassic|Early Jurassic|Comprises fluvial sandstones, interbedded with shales and discontinuous, thin coals. Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|24372|6|Mentioned|p21|||Geological Province: Cooper Basin.|||||
15442|Poolowanna Formation|24482|5|Briefly described|p44|||Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|37776|6|Mentioned|Fig.2||||||||
15442|Poolowanna Formation|40670|6|Mentioned|Fig.9||||||||
15442|Poolowanna Formation|40926|6|Mentioned|Table 2||||||||
15442|Poolowanna Formation|41060|6|Mentioned|p2|||See also Fig.5|||||
15442|Poolowanna Formation|41061|6|Mentioned|p20||||||||
15442|Poolowanna Formation|41063|2|Defined|p46|Middle Jurassic|Early Jurassic||||||
15442|Poolowanna Formation|41084|5|Briefly described|Fig.2||||||||
15442|Poolowanna Formation|41175|6|Mentioned|Fig.1||||||||
15442|Poolowanna Formation|41176|6|Mentioned|Table 2||||||||
15442|Poolowanna Formation|41183|6|Mentioned|p310||||||||
15442|Poolowanna Formation|41187|6|Mentioned|Fig.2||||||||
15442|Poolowanna Formation|41216|6|Mentioned|p300||||||||
15442|Poolowanna Formation|41724|6|Mentioned|p381||||||||
15442|Poolowanna Formation|42008|5|Briefly described|p266||||||||
15442|Poolowanna Formation|42357|6|Mentioned|p11||||||||
15442|Poolowanna Formation|42463|6|Mentioned|Fig.4 P171||||||||
15442|Poolowanna Formation|42520|5|Briefly described|p6||||||||
15442|Poolowanna Formation|42746|4|Described|p10|||See also Fig.6.|||||
15442|Poolowanna Formation|43052|5|Briefly described|Table 2.1||||||||
15442|Poolowanna Formation|43628|6|Mentioned|Fig.3|Early Jurassic|Early Jurassic||||||
15442|Poolowanna Formation|44133|4|Described|p105|Jurassic|Early Jurassic|Previously known as 'Cuttapirie beds', 'basal Hutton', and 'basal Jurassic'. Maximum Thickness in type section 206m. Intertongues with and is overlain by the Algebuckina Sandstone and Hutton Sandstone.|||||
15442|Poolowanna Formation|60386|6|Mentioned|p299|Early Jurassic|Early Jurassic|Cooper/Eromanga Basin. Non-marine.|||||
15442|Poolowanna Formation|60717|5|Briefly described|p40 Fig. 2, p42|Middle Jurassic|Early Jurassic|Unconformity at base, over the Cuddapan Formation. Overlain by Hutton Sandstone. Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|61015|6|Mentioned|p44, p45|Early Jurassic|Early Jurassic||||||
15442|Poolowanna Formation|61613|6|Mentioned|p282 Fig. 2|Middle Jurassic|Early Jurassic|Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|61614|6|Mentioned|p289, p297, p290 Fig. 2|Early Jurassic|Early Jurassic|Geological Province: Eromanga Basin. Contain coals and shales.|||||
15442|Poolowanna Formation|61615|5|Briefly described|p302, p302 Fig. 2, p305, p306, p307|Middle Jurassic|Jurassic|Geological Province: Eromanga Basin. Comprises fluvial sandstones interbedded with shales and discontinuous, thin coals.|||||
15442|Poolowanna Formation|62046|5|Briefly described|p125 Fig. 2|Jurassic|Jurassic|Geological Province: Cooper-Eromanga Basins.|||||
15442|Poolowanna Formation|62376|5|Briefly described|p84|Middle Jurassic|Late Triassic|Geological Province: Pedirka Basin.|||||
15442|Poolowanna Formation|62537|6|Mentioned|p191 Fig.2, p192.|Middle Jurassic|Early Jurassic|Eromanga Basin. Significant hydrocarbon source potential.||||Is overlain by Hutton and Algebuckina Sandstones.|
15442|Poolowanna Formation|62730|5|Briefly described|p352 Fig. 1|Early Jurassic|Early Jurassic|Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|63979|2|Defined|p32, Fig. 44|Toarcian|Pleinsbachian|Supersedes "Poolowanna beds". Unconformable on Cuddapan Fm; conformable below Hutton Sandstone. Max.thick: 165m.Comprises lower dominantly sandstone subunit + upper dominantly mudstone subunit - more lithology available.Geol. Prov.Eromanga Basin.|||||
15442|Poolowanna Formation|64048|5|Briefly described|p64 Tb. 2, p69|||Geological Province: Eromanga Basin. Possesses hydrocarbon source potential.|||||
15442|Poolowanna Formation|64197|6|Mentioned|p625 Fig.1c|Early Jurassic|Early Jurassic|Overlies the Nappamerri Unconformity.||||Underlies the Hutton Sandstone.|
15442|Poolowanna Formation|64232|5|Briefly described|p12|Jurassic|Jurassic|Geological Province: Eromanga Basin. Coal occurs in deeper parts of the basin in this unit.|||||
15442|Poolowanna Formation|64665|5|Briefly described|p53 Fig.2, p61.|Early Jurassic|Early Jurassic|Eromanga Basin. Lateral equivalent of Precipice Sandstone and Evergreen Formation in the Surat Basin. Hosts thin (to 0.5 m thick) uneconomic coal seams.||||Is overlain by Hutton Sandstone.|
15442|Poolowanna Formation|65238|5|Briefly described|p3, p7 Fig. 8|Jurassic|Jurassic|Overlies Purni Formation. Geological province: Eromanga Basin. Meandering and anastomosing fluvial-floodplain deposits. See also p10, p14 Fig. 17.|||||
15442|Poolowanna Formation|65385|5|Briefly described|pS134 Fig.7|Early Jurassic|Early Jurassic|Of Eromanga Basin. Overlain by Hutton Sandstone.|||||
15442|Poolowanna Formation|65925|5|Briefly described|Appendix 2.||||||||White to pale grey, fine- to medium-grained, crossbedded sandstone, ripple cross laminated; dark grey siltstone; shale; coal seams and breccias.
15442|Poolowanna Formation|68731|6|Mentioned|p208, pp209-211|||See also Poolawanna Formation.||||Unconformably underlain by the Tinchoo Formation.|
15442|Poolowanna Formation|69001|6|Mentioned|p16|Early Cretaceous|Jurassic|Recent interpretations by the NSW DPI broadly group this unit within the Algebuckina Sandstone and equivalent units.|||||
15442|Poolowanna Formation|69019|5|Briefly described|p85 Fig.21.|Early Jurassic|Early Jurassic|Southern Eromanga Basin.||||Is overlain by Algebuckina and Hutton Sandstones.|
15507|Potrock gneiss|31991|6|Mentioned|p294|||Informal field name. Metamorphic event 1620+/-70my. p296.|||||
15573|Prices Creek Group|22741|5|Briefly described|P21, Table3 P18||Ordovician||||||
15573|Prices Creek Group|23903|5|Briefly described|p1597 Fig.2|Ordovician|Ordovician|Geological Province: Canning Basin.|||||
15573|Prices Creek Group|30983|4|Described|p73||||||||
15573|Prices Creek Group|31870|6|Mentioned|p8||||||||
15573|Prices Creek Group|32648|6|Mentioned|p32|||Camb.-Ord.|||||
15573|Prices Creek Group|32979|6|Mentioned|p38|||Correlation with basins in India.|||||
15573|Prices Creek Group|35104|6|Mentioned|Fig.2||||||||
15573|Prices Creek Group|35119|4|Described|p460|||See also p448.|||||
