Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
39043|BB8a|underlies|39045|BB8c|not specified|
39044|BB8b|underlies|39045|BB8c|not specified|
39046|BB9|overlies|39045|BB8c|not specified|
39047|BB10|overlies|39046|BB9|not specified|
39063|BB22|overlies|39046|BB9|not specified|
39038|BB4|underlies|39046|BB9|not specified|
39043|BB8a|underlies|39046|BB9|not specified|
39044|BB8b|underlies|39046|BB9|not specified|
39045|BB8c|underlies|39046|BB9|not specified|
17769|Tandalgoo Formation|underlies|837|Babrongan Formation|not specified|
26449|Calyie Formation|overlies|24679|Backdoor Formation|conformity|
4473|Coodardoo Formation|underlies|24679|Backdoor Formation|disconformity|
34906|Edmund Group|underlies|24679|Backdoor Formation|not specified|
27257|Wonyulgunna Sandstone|underlies|24679|Backdoor Formation|conformity|
28702|Lyons Group|overlies|863|Badgeradda Group|unconformity|
1735|Birrindudu Group|is equivalent to|75570|Baines beds||
4554|Coolkilya Sandstone|overlies|911|Baker Formation|disconformity|
9434|Kennedy Group|overlies|911|Baker Formation|not specified|
13698|Nalbia Sandstone|underlies|911|Baker Formation|not specified|
34998|Koongaling Volcanic Member|underlies|36838|Bamboo Creek Member|not specified|may be lateral equivalent
34040|Kylena Formation|overlies|36838|Bamboo Creek Member|not specified|
27847|Mount Roe Basalt|underlies|36838|Bamboo Creek Member|not specified|
36846|Chester Formation|underlies|36845|Bandalup Ultramafics|not specified|
36844|Maydon Basalt|overlies|36845|Bandalup Ultramafics|not specified|
698|Ashburton Formation|underlies|34951|Bangemall Supergroup|not specified|
27346|Bresnahan Group|underlies|34951|Bangemall Supergroup|unconformity|
3558|Capricorn Group|underlies|34951|Bangemall Supergroup|unconformity|
37648|Durlacher Supersuite|underlies|34951|Bangemall Supergroup|not specified|
7044|Gascoyne Complex|underlies|34951|Bangemall Supergroup|unconformity|
33440|Moorarie Supersuite|underlies|34951|Bangemall Supergroup|nonconformity|
29294|Mount Minnie Group|underlies|34951|Bangemall Supergroup|unconformity|
33753|Sunbeam Group|overlies|34951|Bangemall Supergroup|unconformity|
