Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
6731|Flat Top Formation|underlies|1876|Blackwater Group|conformity|Of Back Creek Formation (upper part)
1389|Beetle Creek Formation|underlies|1937|Blazan Shale|disconformity|
7137|Georgina Limestone|overlies|1937|Blazan Shale|not specified|
15774|Quita Formation|overlies|1937|Blazan Shale|conformity|
18088|Thorntonia Limestone|underlies|1937|Blazan Shale|disconformity|
29268|Exmoor Formation|overlies|1944|Blenheim Formation|not specified|
7078|Gebbie Formation|underlies|1944|Blenheim Formation|not specified|
14148|Nimbin Rhyolite|underlies|1991|Blue Knob Basalt|not specified|
25720|Halls Reward Metamorphics|underlies|29431|Blue Rock Creek beds|unconformity|
8710|Injune Creek Group|underlies|2034|Blythesdale Group|not specified|
16054|Rewan Group|overlies|2034|Blythesdale Group||
16267|Rolling Downs Group|overlies|2034|Blythesdale Group|not specified|
23388|Bimurra Volcanics|underlies|23397|Bobby Dazzler Rhyolite|unconformity|
23734|Locharwood Rhyolite|overlies|23397|Bobby Dazzler Rhyolite|not specified|
10280|Leard Formation|overlies|2088|Boggabri Volcanics|not specified|
16012|Reids Dome beds|is equivalent to|2088|Boggabri Volcanics||
6118|Elyuah Formation|overlies|24190|Boko Formation|unconformity|or disconformity
18012|Texas beds|underlies|2168|Bondonga beds|unconformity|
24864|Constance Sandstone|overlies|74651|Boodjamulla Formation|unconformity|
24871|Coonambula Granodiorite|is intruded by|35036|Boolgal Granophyre||
33435|Chahpingah Meta-Igneous Complex|is intruded by|2259|Boondooma Igneous Complex||Triassic parts of
11343|Maronghi Creek beds|is intruded by|2259|Boondooma Igneous Complex||Permo-Triassic parts
12170|Mooga Sandstone|overlies|2259|Boondooma Igneous Complex||
17500|Sugarloaf Metamorphics|is intruded by|2259|Boondooma Igneous Complex||Permo-Triassic parts
17861|Tarong beds|overlies|2259|Boondooma Igneous Complex||Permo-Triassic parts
27967|Tennyson Volcanic Subgroup|overlies|27966|Boonmoo Volcanic Subgroup|not specified|
73613|Duckpond Road Metamorphics|is intruded by|70426|Bootoo Creek Granite||
73792|Broadsound Range Volcanics|is intruded by|41797|Bora Creek Quartz Monzodiorite||
35011|Leura Volcanics|overlies|41797|Bora Creek Quartz Monzodiorite|unconformity|
5070|Currant Bush Limestone|overlies|2321|Border Waterhole Formation|disconformity|
11575|McNamara Group|underlies|2321|Border Waterhole Formation|unconformity|
18088|Thorntonia Limestone|overlies|2321|Border Waterhole Formation|not specified|
18425|Top Rocky Rhyolite|underlies|2321|Border Waterhole Formation|unconformity|
6319|Etonvale Formation|overlies|2333|Boree Salt|unconformity|
23642|Harry Creek Formation|overlies|28307|Boroston Formation|conformity|
17919|Teddy Mount Formation|underlies|28307|Boroston Formation|conformity|
332|Alsace Quartzite|underlies|2347|Bortala Formation|conformity|
19939|Whitworth Quartzite|overlies|2347|Bortala Formation|conformity|
8130|Haslingden Group|overlies|2360|Bottletree Formation|unconformity|
12768|Mount Guide Quartzite|overlies|2360|Bottletree Formation|not specified|
25525|Tewinga Group|underlies|2360|Bottletree Formation|unconformity|
20835|Yappo Member|overlies|2360|Bottletree Formation|conformity|
13831|Napperby Formation|overlies|32390|Boulderwood Formation|not specified|
25005|Gilberton Formation|underlies|23413|Bousey Rhyolite|conformity|
8989|Jinker Creek Rhyolite|overlies|23413|Bousey Rhyolite|unconformity|
26390|Biarraville Formation|underlies|2445|Box Gully Formation|conformity|
26428|Buaraba Mudstone|overlies|2445|Box Gully Formation|conformity|
27930|Westgrove Ironstone Member|overlies|2455|Boxvale Sandstone Member||
8404|Hodgkinson Formation|underlies|2459|Boxwood Volcanics|unconformity|
6118|Elyuah Formation|is equivalent to|28396|Brachina Formation||
23736|Lomandra Limestone|overlies|24760|Bracteata Mudstone|conformity|
27653|Shield Creek Formation|underlies|24760|Bracteata Mudstone|disconformity|
17386|Storm Hill Sandstone|overlies|24760|Bracteata Mudstone|conformity|
14723|Oxtrack Formation|overlies|26294|Brae Formation|unconformity|
26320|Pindari Formation|underlies|26294|Brae Formation|conformity|
3991|Chillingham Volcanics|underlies|2507|Brassal Subgroup|not specified|
12236|Moondarra Siltstone|underlies|27724|Breakaway Shale|conformity|
13930|Native Bee Siltstone|overlies|27724|Breakaway Shale|conformity|
13528|Murphy Metamorphics|underlies|37732|Breakfast Sandstone|unconformity|
8404|Hodgkinson Formation|underlies|27972|Breccia Creek Rhyolite|unconformity|
26767|Mount Mulligan Coal Measures|overlies|27972|Breccia Creek Rhyolite|unconformity|
12910|Mount Marcella Volcanics|overlies|2553|Briggs Granodiorite|unconformity|
77686|Paynes Lagoon Amphibolite|overlies|77687|Brinagee Schist|conformity|
41797|Bora Creek Quartz Monzodiorite|intrudes|73792|Broadsound Range Volcanics||
33146|Camp Creek Granite|intrudes|73792|Broadsound Range Volcanics||
35011|Leura Volcanics|overlies|73792|Broadsound Range Volcanics|unconformity|
35131|Tooloombah Creek Granite|intrudes|73792|Broadsound Range Volcanics||
4733|Corkscrew Rhyolite|underlies|2609|Brodies Gap Rhyolite|disconformity|
23527|Dagworth Andesite|underlies|2609|Brodies Gap Rhyolite|disconformity|
27077|Bundock Creek Group|overlies|28306|Broken River Group|unconformity|
27653|Shield Creek Formation|underlies|28306|Broken River Group|not specified|
73063|Bald Hill Formation|underlies|35393|Bromley Hills Formation|unconformity|
24945|Eight Mile Creek beds|overlies|35393|Bromley Hills Formation|unconformity|
35392|Ormoral Volcanics|underlies|35393|Bromley Hills Formation|unconformity|
18088|Thorntonia Limestone|underlies|24198|Bronco Stromatolith Bed|not specified|
14021|Neranleigh-Fernvale beds|underlies|2627|Brookfield Volcanics|unconformity|
16848|Shoalwater Formation|is equivalent to|29558|Broome Head Metamorphics||
34358|Townshend Formation|is equivalent to|29558|Broome Head Metamorphics||
7945|Gympie Group|underlies|2652|Brooweena Formation|unconformity|
13654|Myrtle Creek Sandstone|overlies|2652|Brooweena Formation|unconformity|
19589|Watermark Formation|underlies|30028|Brothers Subgroup|not specified|
16787|Shady Bore Quartzite|overlies|38038|Brumby Formation (NT)|not specified|
542|Arcadia Formation|overlies|2709|Brumby Sandstone Member||
20540|Woogaroo Subgroup|overlies|39025|Buaraba Granodiorite|not specified|
2445|Box Gully Formation|underlies|26428|Buaraba Mudstone|conformity|
20540|Woogaroo Subgroup|overlies|26428|Buaraba Mudstone|unconformity|
6319|Etonvale Formation|underlies|25708|Buckabie Formation|not specified|
15114|Peters Creek Volcanics|overlies|2809|Buddawadda Basalt Member|not specified|
20288|Wire Creek Sandstone|underlies|2809|Buddawadda Basalt Member|not specified|
3378|Camboon Volcanics|underlies|27076|Buffel Formation|unconformity|
14723|Oxtrack Formation|overlies|27076|Buffel Formation|disconformity|
26320|Pindari Formation|overlies|27076|Buffel Formation|conformity|
37738|Accident Subgroup|underlies|2840|Bukalara Sandstone|unconformity|
13663|Mytton Formation|underlies|23435|Bulgeri Formation|unconformity|
24052|Turrets Formation|overlies|23435|Bulgeri Formation|conformity|
13251|Mount Wyatt Formation|underlies|2867|Bulgonunna Volcanic Group|unconformity|
3284|Cadna-owie Formation|underlies|2891|Bulldog Shale|conformity|
26493|Coorikiana Sandstone|overlies|2891|Bulldog Shale|conformity|
14592|Oodnadatta Formation|overlies|2891|Bulldog Shale||
14854|Parabarana Sandstone|underlies|2891|Bulldog Shale|conformity|
19323|Wallumbilla Formation|is equivalent to|2891|Bulldog Shale||
27713|Blackman Gap Complex|underlies|36277|Bulleringa Volcanic Subgroup|unconformity|
13927|Natal Formation|overlies|2917|Bulliwallah Formation|conformity|
17296|Star of Hope Formation|underlies|2917|Bulliwallah Formation|conformity|
15306|Plain Creek Formation|overlies|38039|Bullrush Conglomerate|not specified|
18425|Top Rocky Rhyolite|underlies|38039|Bullrush Conglomerate|unconformity|
8710|Injune Creek Group|overlies|2963|Bundamba Group|not specified|
8762|Ipswich Coal Measures|underlies|2963|Bundamba Group|unconformity|
19303|Walloon Coal Measures|overlies|2963|Bundamba Group|not specified|
28306|Broken River Group|underlies|27077|Bundock Creek Group|disconformity|
12136|Montgomery Range Igneous Complex|intrudes|27077|Bundock Creek Group||
5593|Doncaster Member|overlies|3008|Bungil Formation|not specified|
12170|Mooga Sandstone|underlies|3008|Bungil Formation|not specified|
19323|Wallumbilla Formation|overlies|3008|Bungil Formation||
16417|Ruby Creek Granite|intrudes|38279|Bungulla Monzogranite||
17274|Stanthorpe Granite|intrudes|38279|Bungulla Monzogranite||
16216|Rocksberg Greenstone|underlies|3045|Bunya Phyllite|conformity|
26072|Nathan Group|overlies|33171|Burash Sandstone|unconformity|
36217|Big Bend Formation|underlies|25820|Burdekin Formation|conformity|
4999|Cultivation Gully Formation|overlies|25820|Burdekin Formation|conformity|
19058|Vanneck Formation|overlies|25820|Burdekin Formation|conformity|
24760|Bracteata Mudstone|underlies|26256|Burges Formation|conformity|
27653|Shield Creek Formation|underlies|26256|Burges Formation|disconformity|
38874|Monal Granodiorite|is intruded by|38864|Burns Spur Nepheline Monzosyenite||
38865|Ridler Monzonite|is intruded by|38864|Burns Spur Nepheline Monzosyenite||
11409|Maryborough Formation|underlies|3148|Burrum Coal Measures|conformity|
1024|Banana Formation|underlies|21399|Burunga Formation||
1078|Baralaba Coal Measures|overlies|21399|Burunga Formation||
26062|Muggleton Formation|underlies|21399|Burunga Formation||
34919|Scotia Member|underlies|21399|Burunga Formation||
35011|Leura Volcanics|overlies|35093|Burwood Complex|unconformity|
6319|Etonvale Formation|overlies|3190|Bury Limestone|unconformity|
10583|Log Creek Formation|is equivalent to|3190|Bury Limestone||lower part Bury to upper part Log
6300|Etheridge Group|underlies|27355|Butlers Volcanic Group|unconformity|
6356|Eulo Queen Group|overlies|27355|Butlers Volcanic Group|unconformity|
8256|Helen Springs Volcanics|overlies|3256|Cabbage Gum Granite|not specified|
5622|Doonbara Formation|is interbedded with|3270|Cadelga Limestone||
5622|Doonbara Formation|underlies|3270|Cadelga Limestone|not specified|
19936|Whitula Formation|underlies|3270|Cadelga Limestone|not specified|
262|Algebuckina Sandstone|underlies|3284|Cadna-owie Formation|unconformity|
