Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41169|Begg, J.|1987|Structuring and controls on Devonian reef development on the north-west Barbwire and adjacent terraces, Canning Basin.|APEA Journal|27(1)|p137-151
41170|Osborne, D.G., Howell, E.A.|1987|The geology of the Harriet Oilfield, offshore Western Australia.|APEA Journal|27(1)|p152-163
41171|Lowry, D.C.|1987|A new play in the Gippsland Basin.|APEA Journal|27(1)|p164-172
41172|Smith, G.C., Cowley, R.G.|1987|The tectono-stratigraphy and petroleum potential of the northern Abrolhos Sub-basin, Western Australia.|APEA Journal|27(1)|p112-136
41190|do Rosario, R.F., Baird, B.W.|1987|The detection and significance of fractures in the Palm Valley Gas Field.|APEA Journal|27(1)|p264-280
41192|Evans, B.J., Paterson, G.A., Frey, S.E.|1987|Fault plane resolution using the low-fold 3D seismic technique over Woodada Gas Field, Perth Basin, Western Australia.|APEA Journal|27(1)|p298-301
41195|Bergmark, S.L., Evans, P.R.|1987|Geological controls on reservoir quality of the northern Perth Basin.|APEA Journal|27(1)|p318-330
41199|Glassford, D.K.|1987|Cainozoic stratigraphy of the Yeelirrie area, northeastern Yilgarn Block, Western Australia.|Royal Society of Western Australia. Journal|70(1)|p1-24
41200|Semeniuk, V., Searle, D.J.|1987|The Bridport Calcilutite.|Royal Society of Western Australia. Journal|70(1)|p25-27
41203|Ozimic, S., Passmore, V.L., Pain, L., Lavering, I.H.|1986|Amadeus Basin, central Australia.|Australian Petroleum Accumulations. Report|1|
41204|Wyche, S., Simons, B.|1987|Bonney Well SF 53-2, geological map series explanatory notes.|Northern Territory Geological Survey|1v|
41209|Foster, C.B., O'Brian, G.W., Watson, S.T.|1986|Hydrocarbon source potential of the Goldwyer Formation, Barbwire Terrace, Canning Basin, Western Australia.|APEA Journal|26(1)|p142-155
41215|Lehmann, P.R.|1986|The geology and hydrocarbon potential of the EP 104 Permit, northwest Canning Basin, Western Australia.|APEA Journal|26(1)|p261-284
41217|Moors, H.T.|1986|The Yellow Drum Formation - A hydrocarbon reservoir, Canning Basin, Western Australia.|APEA Journal|26(1)|p310-318
41218|Nelson, R.G., Crabb, T.N., Gerdes, R.A.|1986|A review of geophysical exploration in the Polda Basin, South Australia.|APEA Journal|26(1)|p319-333
41224|Towler, B.E.|1986|Reservoir simulation in the Mereenie Field.|APEA Journal|26(1)|p428-446
41241|Griffin, T.J., Myers, J.S.|1988|Geological Note. A Proterozoic terrane boundary in the King Leopold Orogen, Western Australia.|Australian Journal of Earth Sciences|35(1)|p131-132
41243|Knoll, A.H., Strother, P.K., Rossi, S.|1988|Distribution and diagenesis of microfossils from the Lower Proterozoic Duck Creek Dolomite, Western australia.|Precambrian Research|38(3)|p257-279
41245|Murray-Wallace, C.V., Kimber, R.W.L., Belperio, A.P., Gostin, V.A.|1988|Aminostratigraphy of the last interglacial in southern Australia.|Search|19(1)|p33-36
41249|Keats, W.|1987|Regional geology of the Kalgoorlie-Boulder gold-mining district.|Geological Survey of Western Australia. Report|21|
41250|Sylvester, G.C., de Laeter, J.R.|1987|Geochronology of the Mons Cupri Archaean volcanic centre, Pilbara block, Western Australia.|Royal Society of Western Australia. Journal|70(2)|p29-34
41251|Semeniuk, V., Glassford, D.K.|1987|Origin of limestone lenses in Perth Basim yellow sand, southwestern Australia.|Royal Society of Western Australia. Journal|70(2)|p35-47
41252|Horwitz, R.C.|1987|The unconformity in the Kelly Belt, east Pilbara Craton.|Royal Society of Western Australia. Journal|70(2)|p49-53
41261|Williams, I.R., Myers, J.S.|1987|Archaean geology of the Mount Narryer region, Western Australia.|Geological Survey of Western Australia. Report|22|
41263|Horwitz, R.C.|1988|Contributed discussion to "The nickel copper deposit at Radio Hill, Karratha, Western Australia" by de Angelis, Hoyle, Peters and Wightman (Bulletin and Proceedings Vol 292, June 1987).|AusIMM. Bulletin and Proceedings|293(2)|p57-58
41268|Jackson, M.J., Sweet, I.P., Powell, T.G.|1988|Studies on petroleum geology and geochemistry, Middle Proterozoic, McArthur Basin northern Australia I: Petroleum potential.|APEA Journal|28(1)|p283-302
41270|Bradshaw, J.D., Evans, P.R.|1988|Palaeozoic tectonics, Amadeus Basin, central Australia.|APEA Journal|28(1)|p267-282
41271|Hocking, R.M., Moors, H.T., van de Graaff, W.J.E.|1987|Geology of the Carnarvon Basin, Western Australia.|Geological Survey of Western Australia. Bulletin|133|
41272|Mock, C.M., Lorenz, R.P., Elliott, B.G.|1988|Gold deposits of Queensland: BMR Datafile (MINDEP).|Bureau of Mineral Resources, Australia. Resource Report|4|
41276|Long, J.A., Turner, S., Young, G.C.|1988|A Devonian fish fauna from subsurface sediments in the eastern Officer Basin, South Australia.|Alcheringa|12(1)|p61-78
41278|Yassini, I., Kendrick, G.W.|1988|Middle Holocene ostracodes, foraminifers and environments of beds at Point Waylen, Swan River Estuary, southwestern Australia.|Alcheringa|12(2)|p107-121
41280|McMinn, A.|1988|Outline of a Late Cretaceous dinoflagellate zonation of northwestern Australia.|Alcheringa|12(2)|p137-157
41283|Drummond, B.J., Etheridge, M.A., Davies, P.J., Middleton, M.F.|1988|Half-graben model for the structural evolution of the Fitzroy Trough, Canning Basin, and implications for resource exploration.|APEA Journal|28(1)|p76-86
41284|Warris, B.J.|1988|The geology of the Mount Horner oilfield, Perth Basin, Western Australia.|APEA Journal|28(1)|p88-99
41294|Needham, R.S.|1986|Geology of Katherine Gorge National Park, Northern Territory, 1:100 000 map. Sheet 5369 and 5469, 1st edition.|Northern Territory. Department of Mines and Energy|1v|
41295|Mulder, C.A., Whitehead, B.R.|1988|Geology of Katherine Gorge National Park.|Northern Territory Geological Survey, Report|3|
41304|Pietsch, B.A., Stuart-Smith, P.G.|1988|Darwin, Northern Territory, 1:250 000 geological series map. Sheet SD 52-04, 2nd edition.|Bureau of Mineral Resources, Australia & Geological Survey of NT|1v|
41305|Pietsch, B.A., Stuart-Smith, P.G.|1987|Darwin SD52-4, 1:250 000 geological map series explanatory notes.|Northern Territory Geological Survey|1v|??p
41315|Foster, C.B., Waterhouse, J.B.|1988|The Granulatisporites confluens Oppel-zone and Early Permian marine faunas from the Grant Formation on the Barbwire Terrace, Canning Basin, Western Australia.|Australian Journal of Earth Sciences|35(2)|p135-157
41331|Myers, J.S.|1988|Early Archaean Narryer Gneiss Complex, Yilgarn Craton, Weste rn Australia.|Precambrian Research|38(4)|p297-308
41332|Myers, J.S.|1988|Oldest known terrestrial anorthosite at Mount Narryer, Western Australia.|Precambrian Research|38(4)|p309-324
41333|Kinny, P.D., Williams, I.S., Froude, D.O., Ireland, T.R., Compston, W.|1988|Early Archaean zircon ages from orthogneisses and anorthosites at Mount Narryer, Western Australia.|Precambrian Research|38(4)|p325-341
41334|Fletcher, I.R., Rosman, K.J.R., Libby, W.G.|1988|Sm-Nd, Pb-Pb and Rb-Sr geochronology of the Manfred Complex, Mount Narryer, Western Australia.|Precambrian Research|38(4)|p343-354
41341|Harrison, P.H., Hickman, A.H., Blockley, J.G., Brown, I.M., Preston, W.A., Keats, W., Lipple, S.L., Wilson, A.C., Elliott, R.M.L.|1987|Geology and mineral potential of the south west of Western Australia.|Geological Survey of Western Australia. Record|1987/4|
