**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
D44/f9511	S159/f0511	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 5296	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL. BULL. 48 AND WATERHOUSE 1964, PAL.BULL. 35. GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6.	
D44/f9542	S159/f0542	Outcrop						Campbell, H.J.; 	July 9, 1981	Etalian				245.5	238.0		5519	DETERMINATIONS PUBLISHED WATERHOUSE 1960 NZJGG 3 (2): 271-283. ?Saurian bones plus 1 whole vertebra.	
D44/f9542	S159/f0542	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1375, 1454	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9542	S159/f0542	Outcrop						Simes, J.E.; 	January 6, 2011								GNS GS 5519	A variety of bone and probable teeth in half a dozen fist sized lumps.	
D44/f9543	S159/f0543	Outcrop								Etalian				245.5	238.0				
D44/f9543	S159/f0543	Outcrop						Campbell, H.J.; 	July 8, 1981	Kaihikuan				238.0	229.0		GNS GS 5520	BONE FRAGMENT AND HEULONDITISED FORAMINIFERIDA IN COLLECTION.	
D44/f9543	S159/f0543	Outcrop						MacFarlan, D.A.B.; 	1992	Kaihikuan				238.0	229.0		GNS GS 5520	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9553	S159/f0553	Outcrop						Marwick, J.; 		Etalian	?			245.5	238.0	ETALIAN FROM FIELD RELATIONS.	GNS GS 5607		
D44/f9559	S159/f0559	Outcrop						Marwick, J.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 5613		
D44/f9559	S159/f0559	Outcrop						Waterhouse, J.B.; 		Mangapirian				285.0	276.0		GNS GS 5613	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL.BULL. 48. GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6.	
D44/f9604	S159/f0604	Outcrop						Waterhouse, J.B.; 		Telfordian				288.5	285.0		GNS GS 5885	BIVALVIA DETERMINATIONS PUBLISHED WATERHOUSE 1963, PALEONT. 6 (4) AND WATERHOUSE 1982, PAL.BULL. 49. GASTROPODA DETERMINATIONS PUBLISHED WATERHOUSE, 1963 NZJGG 6 (5): 817-42. BRACHIOPODA DETERMINATIONS PUBLISHED WATERHOUSE 1958, NZJGG 1 (4); WATERHOUSE, 1964, PAL.BULL. 35; WATERHOUSE 1968, PALEONT. 129; WATERHOUSE, 1982, PAL.BULL. 48.	
D44/f9604	S159/f0604	Outcrop						Mutch, A.R.; 		Permian	?			298.9	252.2				
D44/f9604	S159/f0604	Outcrop						Fleming, C.A.; 	August 26, 1953	Permian				298.9	252.2				
D44/f9604	S159/f0604	Outcrop							June 12, 1958										
D44/f9604A	S159/f0604A	Outcrop	125					Campbell, H.J.; 	February 8, 1982	Aparima Series				288.5	259.8		GNS GS 13140		
