Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41292|Murray-Wallace, C.V., Kimber, R.W.L., Gostin, V.A., Belperio, A.P.|1988|Amino acid racemisation dating of the "Older Pleistocene mar ine beds", Redcliff, northern Spencer Gulf, South Australia.|Royal Society of South Australia. Transactions|112(2)|p51-55
41296|Bischoff, G.C.O.|1988|Two new spacies of the genus Lancicula Maslow 1956 (siphonous green algae) from the Silurian and Early Devonian of eastern Australia.|Neues Jahrbuch fur Mineralogie. Monatshefte|1988(3)|p129-140
41299|Henry, H.M.|1987|Mellong Plateau, central eastern New South Wales: an anomalous landform.|Royal Society of New South Wales. Journal and Proceedings|120(3/4)|p117-134
41301|Akpokodje, E.G.|1987|The mineralogical relationship between some arid zone soils and their underlying bedrocks at Fowlers Gap Station, New South Wales (N.S.W.) Australia.|Royal Society of New South Wales. Journal and Proceedings|120(3/4)|p91-99
41306|Blake, D.H., Jaques, A.L., Donchak, P.J.T.|1983|Selwyn Region, Queensland.|Bureau of Mineral Resources, Australia. 1:100 000 Geol. Map Commentary|1v|
41307|Wilson, I.H., Grimes, K.G.|1984|Myally, Queensland.|Bureau of Mineral Resources, Australia. 1:100 000 Geol. Map Commentary|1v|
41315|Foster, C.B., Waterhouse, J.B.|1988|The Granulatisporites confluens Oppel-zone and Early Permian marine faunas from the Grant Formation on the Barbwire Terrace, Canning Basin, Western Australia.|Australian Journal of Earth Sciences|35(2)|p135-157
41317|Carey, S.P., Berry, R.F.|1988|Thrust sheets at Point Hibbs, Tasmania: Palaeontology, sedimentology and structure.|Australian Journal of Earth Sciences|35(2)|p169-180
41320|Wormald, R.J., Price, R.C.|1988|Peralkaline granites near Temora, southern New South Wales: Tectonic and petrological implications.|Australian Journal of Earth Sciences|35(2)|p209-221
41321|Sandiford, M., Martin, S.F., Lohe, E.M.|1988|Shear-zone deformation in the Yackandandah Granite, northeast Victoria.|Australian Journal of Earth Sciences|35(2)|p223-230
41323|Knutson, J., Flood, R.H.|1988|Ben Bullen plutons, New South Wales: A Carboniferous gabbro- trondhjemite suite.|Australian Journal of Earth Sciences|35(2)|p245-257
41328|Aitchison, J.C., Blake Jnr., M.C., Flood, P.G., Murchey, B.L.|1988|New and revised lithostratigraphic units from the southwestern New England Fold Belt.|Geological Survey of New South Wales. Quarterly Notes|72|p10-16
41329|Blake Jnr., M.C., Murchey, B.L.|1988|A California model for the New England Fold Belt.|Geological Survey of New South Wales. Quarterly Notes|72|p2-9
