Reference Id | Author | Year | Title | Source | Vol/Part | Pages
23451|Leaman, D.E., Brown, A.V., Williams, E.|1987|Discussion: Stratigraphic and structural relationships and evidence for Cambrian deformation at the western margin of the Mt. Read Volcanics, Tasmania|Australian Journal of Earth Sciences|34(4)|p531-532
23452|Corbett, K.D., Lees, T.C.|1987|Reply to Discussion: Stratigraphic and structural relationships and evidence for Cambrian deformation at the western margin of the Mt. Read Volcanics, Tasmania|Australian Journal of Earth Sciences|34(4)|p533-534
23460|Turner, N.J., Bottrill, R.S.|2001|Blue amphibole, Arthur Metamorphic Complex, Tasmania: composition and regional tectonic setting|Australian Journal of Earth Sciences|48(1)|p167-181
23465|Kiernan, K., Lauritzen, S-E., Duhig, N.|2001|Glaciation and cave sediment aggradation around the margins of the Mt. Field Plateau, Tasmania|Australian Journal of Earth Sciences|48(2)|p251-263
23472|Kelly, J.C., Webb, J.A., Maas, R.|2001|Isotopic constraints on the genesis and age of autochthonous glaucony in the Oligo-Miocene Torquay Group, south-eastern Australia|Sedimentology|48(2)|p325-338
23521|Van Dissen, R., McCue, K., Gibson, G., Jensen, V., Somerville, M., Boreham, B., McKavanagh, B., Goede, A.|1997|The Lake Edgar Fault : evidence for repeated Quaternary displacement on an active fault in southwestern Tasmania . Paper 5 IN 'Earthquakes in Australian Cities - can we ignore the risks?' seminar, University of Queensland, Brisbane, 1997.|Australian Earthquake Engineering Society. Proceedings|1v|5.0 - 5.4
23522|Mawson, R., Talent, J.A.|2000|The Devonian of eastern Australia : stratigraphic alignments, stage and series boundaries, and the transgression - regression pattern re-considered. IN 'Subcommission on Devonian Stratigraphy, recognition of Devonian series and stage bound|Courier Forschungsinstitut Senckenberg|225|p243-270
23537|Holdgate, G.R., Geurin, B., Wallace, M.W., Gallagher, S.J.|2001|Marine geology of Port Phillip, Victoria|Australian Journal of Earth Sciences|48(3)|p439-455
23543|Osborne, R.A.L., Cooper, I.B.|2001|Sulfide-bearing palaeokarst deposits at Lune River Quarry, Ida Bay, Tasmania|Australian Journal of Earth Sciences|48(3)|p409-416
23671|Harris, W.K.|1966|New and redefined names in South Australian lower Tertiary stratigraphy|Geological Survey of South Australia, Quarterly Geological Notes|20|p1-3
23718|Seymour, D.B.|1989|St Valentines Geological Survey Explanatory Report Geological Atlas 1:50 000 Series Sheet 36 (8015N)|Geological Survey of Tasmania|1v|147p
23737|Edgecombe, G.D., Sherwin, L.|2001|Early Silurian (Llandovery) trilobites from the Cotton Formation, near Forbes, New South Wales, Australia|Alcheringa|25(1)|p87-105
23741|Monecke, T., Gemmell, J.B., Monecke, J.|2001|Fractal distributions of veins in drill core from the Hellyer VHMS deposit, Australia: constraints on the origin and evolution of the mineralising system|Mineralium Deposita|36|p406-415
23768|Beu, A.G., Darragh, T.A.|2001|Revision of Southern Australia Cenozoic Fossil Pectinidae (Mollusca: Bivalvia)|Royal Society of Victoria. Proceedings|113(1)|p1-12
23778|Holdgate, G.R., Smith T.A.G., Gallagher, S.J., Wallace, M.W.|2001|Geology of coal-bearing Palaeogene sediments, onshore Torquay Basin, Victoria|Australian Journal of Earth Sciences|48(5)|p 657-679
23786|Brown, S.J.A., Krapez, B., Beresford, S.W., Cassidy, K.F., Champion, D.C., Barley, M.E., Cas, R.A.F.|2001|Archaean volcanic and sedimentary environments of the Eastern Goldfields Province, Western Australia - a field guide|Geological Survey of Western Australia. Record|2001/13|66p
23792|Hill, P., Rollet, N., Symonds, P.|2001|Seafloor mapping of the South-east Marine Region and adjacent waters - AUSTREA final report: Lord Howe Island, south-east Australian margin (includes Tasmania and South Tasman Rise) and central Great Australia Bight|Australian Geological Survey Organisation. Record|2001/8|83p
23818|Parkin, L.W.|1969|Handbook of South Australian Geology|Geological Survey of South Australia|1v|268p
23824|Pattinson, R., Watkins, G., Van Den Abeele, D.|1976|Great Australian Bight Basin, South Australia IN Economic Geology of Australia and Papua New Guinea 3. Petroleum. Leslie, R.B., Evans, H.J. & Knight, C.L. (Editors)|AusIMM. Monograph Series|7|p98-104
23830|Wopfner, H.|1969|Depositional history and tectonics of South Australian sedimentary basins|ECAFE Symposium on the development of petroleum resources in Asia & the Far East|1v|
23837|Clarke, M.J., Farmer, N., Gulline, A.B.|1976|Tasmania Basin - Parmeener Supergroup IN Economic Geology of Australia and Papua New Guinea. 3. Petroleum. Leslie, R.B., Evans, H.J., & Knight, C.L. (Editors)|AusIMM. Monograph Series|7|p438-443
23850|Reed, A.R.|2001|Pre-Tabberabberan deformation in eastern Tasmania: a southern extension of the Benambran Orogeny|Australian Journal of Earth Sciences|48(6)|p785-796
23882|McPhail, D.C., Green, D., Hooper, W.C.|2001|Chapter 9 - Hydrogeology and geochemistry of sediment banks contmainated with mine tailings in the King River, Tasmania IN Gostin, V.A. ed., 'Gondwana to Greenhouse: Australian Environmental Geoscience'|Geological Society of Australia. Special Publication|21|p95-109
