Reference Id | Author | Year | Title | Source | Vol/Part | Pages
48928|Mayne, S.J.|1972|Bibliography of the Clarence-Moreton Basin, New South Wales and Queensland.|Bureau of Mineral Resources, Australia, Report|151|
48938|Sweet, I.P., Pontifex, I.R., Morgan, C.M.|1974|The geology of the Auvergne 1:250 000 Sheet area, Northern Territory (excluding Bonaparte Gulf Basin).|Bureau of Mineral Resources, Australia, Report|161|
48940|Olgers, F., Flood, P.G., Robertson, A.D.|1974|Palaeozoic geology of the Warwick and Goondiwindi 1:250 000 Sheet areas, Queensland and New South Wales.|Bureau of Mineral Resources, Australia, Report|164|
48942|Sweet, I.P., Mendum, J.R., Morgan, C.M., Pontifex, I.R.|1974|The geology of the northern Victoria River region, Northern Territory.|Bureau of Mineral Resources, Australia, Report|166|
48943|Sweet, I.P., Mendum, J.R., Bultitude, R.J., Morgan, C.M.|1974|The geology of the southern Victoria River region, Northern Territory.|Bureau of Mineral Resources, Australia, Report|167|
48947|Burgis, W.A.|1975|Environmental significance of folds in the Rangal Coal Measures at Blackwater, Queensland.|Bureau of Mineral Resources, Australia, Report|171|
48951|Harrison, P.L., Anfiloff, W., Moss, F.J.|1975|Galilee Basin seismic and gravity survey, Queensland 1971.|Bureau of Mineral Resources, Australia, Report|175|
48958|Rees, J.E., Taylor, R.J.|1976|Tottenham detailed aeromagnetic survey, New South Wales 1971.|Bureau of Mineral Resources, Australia, Report|182|
48963|Young, G.A., Shelley, E.P.|1977|Amadeus Basin airborne magnetic and radiometric survey, Northern Territory, 1969.|Bureau of Mineral Resources, Australia, Report|187|
48971|Jones, P.J., de Deckker, P.|1978|Check list of Ostracoda recorded from Australia and Papua New Guinea, 1845-1973.|Bureau of Mineral Resources, Australia, Report|195|
48976|Black, L.P.|1978|Isotopic ages of rocks from the Georgetown-Mount Garnet-Herberton area, north Queensland|Bureau of Mineral Resources. Report.|200|94p
48990|Walter, M.R.|1980|Adelaidean and Early Cambrian stratigraphy of the southwestern Georgina Basin: correlation chart and explanatory notes.|Bureau of Mineral Resources, Australia, Report|214|
48992|Stewart, A.J., Shaw, R.D., Offe, L.A., Langworthy, A.P., Warren, R.G., Allen, A.R., Clarke, D.B.|1980|Stratigraphic definitions of named units in the Arunta Block, Northern Territory.|Bureau of Mineral Resources, Australia, Report|216|
48995|Norvick, M.|1981|Permian and Late Carboniferous palynostratigraphy of the Galilee Basin, Queensland.|Bureau of Mineral Resources, Australia, Report|219|
48997|Warren, R.G.|1981|Tectonic setting of the easternmost Arunta Block.|Bureau of Mineral Resources, Australia, Report|221|
49001|Sweet, I.P.|1981|Definitions of new stratigraphic units in the Seigal and Hedleys Creek 1:100 000 Sheet areas, Northern Territory and Queensland.|Bureau of Mineral Resources, Australia, Report|225|
49002|Sweet, I.P., Mock, C.M., Mitchell, J.E.|1981|Chemical analyses of igneous rocks from the Seigal and Hedleys Creek 1:100 000 Sheet areas, Northern Territory and Queensland.|Bureau of Mineral Resources, Australia, Report|226|
49009|Donchak, P.J.T., Bultitude, R.J., Blake, D.H.|1981|Definitions of newly named and revised Precambrian stratigraphic and intrusive rock units in the Duchess and Urandangi 1:250 000 sheet areas, Mount Isa Inlier, northwestern Queensland.|Bureau of Mineral Resources, Australia, Report|233|
49010|Habermehl, M.A.|1982|Investigations of the geology and hydrology ofthe Great Artesian Basin 1878-1980.|Bureau of Mineral Resources, Australia, Report|234(MF169)|
49011|Habermehl, M.A.|1982|Springs in the Great Artesian Basin, Australia - their origin and nature.|Bureau of Mineral Resources, Australia, Report|235(MF179)|
49018|Sweet, I.P.|1982|Definitions of new stratigraphic units in the Carrara Range region, Northern Territory.|Bureau of Mineral Resources, Australia, Report|242|
49027|Shergold, J.H.|1985|Notes to accompany the Hay River-Mount Whelan special 1:250 000 geological sheet, southern Georgina Basin.|Bureau of Mineral Resources, Australia, Report|251|
49036|Shaw, R.D., Warren, R.G., Freeman, M.J.|1985|Statigraphic definitions of named units in the Arunta Block, Northern Territory, 1979-82.|Bureau of Mineral Resources, Australia, Report|260|
49041|Hone, I., Carberry, V.P., Reith, H.G.|1987|Physical property measurement on rock samples from the Mount Isa Inlier, northwest Queensland.|Bureau of Mineral Resources, Australia, Report|265|
49254|Ozimic, S.|1981|Stratigraphic drilling in the Cretaceous Toolebuc Formation in the southern and eastern Eromanga Basin, 1980 - a contribution to BMR/CSIRO NERDDC project 78/2616.|Bureau of Mineral Resources, Record|81/ 12|
49273|Burger, D.|1981|Palynology of three NERDDC stratigraphic bores in the Eromanga Basin: Preliminary report.|Bureau of Mineral Resources, Record|81/ 32|
49278|Ozimic, S.|1981|Stratigraphic drilling in the Cretaceous Toolebuc Formation in the Charleville district, southern Queensland, June 1981. A contribution to BMR/CSIRO NERDDC Project 78/2616.|Bureau of Mineral Resources, Record|81/ 38|
49330|Gibson, D.L.|1982|Shallow stratigraphic drilling, northwest Eromanga Basin, October 1981.|Bureau of Mineral Resources, Record|82/ 16|
49338|Stephenson, A.E.|1982|Stratigraphic drilling in the Cretaceous Toolebuc Formation in the southern Eromanga Basin, 1981 - a contribution to BMR/CSIRO NERDDC Project 78/2616.|Bureau of Mineral Resources, Record|82/ 25|
49644|Archbold, N.W., Dickins, J.M.|1989|Australian Phanerozoic timescales. 6 Permian. A standard for the Permian system in Australia.|Bureau of Mineral Resources, Record|89/ 36|17pp
49769|Blewett, R.|1991|Regional mapping field database (REGMAP) status for the Coen Inlier, Cape York 1990 - 91.|Bureau of Mineral Resources, Record|91/ 31|16p
