Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
31704|Mandagery Formation|overlies|1468|Bendick Formation|not specified|
20045|Wilkawillina Limestone|underlies|24712|Bendieuta Formation|disconformity|
98|Adaminaby Group|underlies|1474|Bendoc Group|not specified|
2294|Boothumble Formation|overlies|1474|Bendoc Group|not specified|
27673|Cobar Supergroup|overlies|1474|Bendoc Group|not specified|
23907|Pinnak Sandstone|underlies|1474|Bendoc Group|conformity|
37356|Poidevins Sandstone|overlies|1474|Bendoc Group|not specified|
32684|Wagga Group|underlies|1474|Bendoc Group|not specified|
20777|Yalmy Group|overlies|1474|Bendoc Group|not specified|
14394|Nungar beds|is intruded by|25781|Bendora Granodiorite||
8515|Hoskissons Coal|underlies|41275|Benelabri Formation||
76152|Muckabunnya Formation|is equivalent to|70127|Bengoro Ridge Formation||
15860|Ravendale Formation|overlies|70127|Bengoro Ridge Formation|unconformity|
70128|Shell Hill Formation|underlies|70127|Bengoro Ridge Formation|conformity|gradational
25851|Coila Basalt|overlies|1498|Bergalia Formation|not specified|
7025|Garra Formation|overlies|29661|Berkley Formation|conformity|
8050|Hanover Formation|underlies|29661|Berkley Formation||
11229|Maradana Shale|underlies|29661|Berkley Formation|not specified|
4433|Conger Formation|underlies|1516|Berrico Creek Formation|not specified|
6555|Faulkland Formation|overlies|1516|Berrico Creek Formation|conformity|
25923|Gilgal Formation|underlies|1520|Berridong Siltstone|conformity|
25590|Wambangalong Formation|overlies|1520|Berridong Siltstone|conformity|
2815|Budgong Sandstone|overlies|27336|Berry Siltstone|not specified|
14320|Nowra Sandstone|underlies|27336|Berry Siltstone|not specified|
26100|Pheasants Nest Formation|overlies|27336|Berry Siltstone|not specified|
17035|Snapper Point Formation|underlies|27336|Berry Siltstone|disconformity|
75933|Tullyangela Granite|underlies|27336|Berry Siltstone|unconformity|
16202|Rockhampton Group|underlies|38891|Berserker Group|unconformity|
1474|Bendoc Group|underlies|30290|Besford Ignimbrite|unconformity|
23907|Pinnak Sandstone|underlies|30290|Besford Ignimbrite|unconformity|
18250|Toaks Creek Conglomerate|underlies|30290|Besford Ignimbrite|unconformity|
19441|Warbisco Shale|underlies|30290|Besford Ignimbrite|not specified|
6881|Frampton Volcanics|underlies|28365|Bethungra Formation|disconformity|
38921|Bird Flat Volcanic Member|overlies|21242|Beugamel Sandstone|not specified|
32326|Euchabil Gap Formation|underlies|21242|Beugamel Sandstone|not specified|
24325|Kadungle Volcanics|underlies|21242|Beugamel Sandstone|not specified|
401|Anakie Metamorphic Group|is intruded by|23382|Bevandale Granodiorite||
3248|CSA Siltstone|underlies|28129|Biddabirra Formation|not specified|
24302|Gundillion Conglomerate|underlies|24181|Big Hole Formation|not specified|
7798|Greta Coal Measures|underlies|1601|Big Table Top Formation|not specified|
26257|Cartwrights Creek Metasediments|underlies|28168|Bijerkerno Metasediments|not specified|
23530|Dalnit Bore Metasediments|overlies|28168|Bijerkerno Metasediments|not specified|
4847|Cranky Corner Sandstone|underlies|24721|Billy Brook Formation|not specified|
