Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
1474|Bendoc Group|underlies|26487|Combyingbar Formation|unconformity|
28537|Errinundra Group|underlies|26487|Combyingbar Formation|not specified|
23907|Pinnak Sandstone|underlies|26487|Combyingbar Formation|unconformity|
19739|Wentworth Group|underlies|26487|Combyingbar Formation|not specified|
98|Adaminaby Group|underlies|25853|Comerong Volcanics|unconformity|
11713|Merrimbula Group|overlies|25853|Comerong Volcanics|not specified|
19893|White Hills Gravel|overlies|37711|Commissioners Flat Granodiorite|not specified|
1423|Bellbird Creek Formation|underlies|4444|Conjola Subgroup|not specified|
6691|Fishermens Bend Silt|underlies|28285|Coode Island Silt|not specified|
2543|Bridgewater Formation|overlies|4583|Coomandook Formation|not specified|
19858|Whalers Bluff Formation|underlies|4583|Coomandook Formation|not specified|
98|Adaminaby Group|underlies|29939|Coomber Formation|conformity|
98|Adaminaby Group|underlies|4594|Coombing Formation|conformity|
16923|Simpson Sand|is interbedded with|4602|Coonarbine Formation||interdigitates with
2211|Boola Formation|underlies|24873|Coopers Creek Limestone|not specified|
19233|Walhalla Group|overlies|24873|Coopers Creek Limestone|not specified|
8926|Jerilderie Formation|overlies|4633|Coorabin Coal Measures|unconformity|
18976|Urana Formation|underlies|4633|Coorabin Coal Measures|unconformity|
6363|Eumeralla Formation|underlies|4665|Copa Formation|unconformity|
25864|Cowombat Siltstone|overlies|4688|Copperhead Volcaniclastic Member|not specified|
35516|Bear Gully Chert Bed|overlies|37266|Corduroy Creek Gabbro|nonconformity|
37267|Digger Island Marlstone|overlies|37266|Corduroy Creek Gabbro|conformity|
11550|McIvor Sandstone|underlies|30575|Cornella Member|conformity|
19428|Wapentake Formation|overlies|4769|Costerfield Siltstone|not specified|
839|Bacchus Marsh Formation|underlies|4785|Council Trench Formation|disconformity|
29131|Werribee Formation|overlies|4785|Council Trench Formation|not specified|
2543|Bridgewater Formation|overlies|77691|Cove Sand||
77690|Dog Trap Bay Sand|underlies|77691|Cove Sand||
15462|Port Campbell Limestone|underlies|77691|Cove Sand||
11187|Mannum Formation|underlies|31508|Cowirra Clay Member|conformity|
27289|Gibsons Folly Formation|overlies|25864|Cowombat Siltstone|conformity|
18080|Thorkidaan Volcanics|underlies|25864|Cowombat Siltstone|not specified|
3744|Casterton Formation|underlies|4874|Crayfish Subgroup|not specified|
6363|Eumeralla Formation|overlies|4874|Crayfish Subgroup|not specified|
73285|Eumeralla Supersequence|overlies|73284|Crayfish Supersequence|unconformity|Angular unconformity observed on the offshore Crayfish Platform
30050|Tara Range Subgroup|overlies|29708|Crohn Granite|nonconformity|
32308|Kipper Shale|underlies|39339|Curlip Formation|not specified|
35961|Ballantyne Megabreccia|overlies|21593|Currie Creek Ignimbrite|not specified|
12244|Moonkan Ignimbrite|underlies|21613|Dandan Andesite|not specified|
30563|Mount McLeod Tonalite|overlies|21613|Dandan Andesite|not specified|
37524|Moornapa Sandstone|underlies|35513|Dandongadale Siltstone|not specified|
28613|Humevale Siltstone|overlies|5213|Dargile Formation|not specified|
11550|McIvor Sandstone|overlies|5213|Dargile Formation|conformity|
12668|Mount Easton Shale|underlies|5213|Dargile Formation||
