basin,formation,lithology1,lithology2,environment1,environment2,source,notes,name
Sydney,Illawarra,shale,sandstone,,,,,
Wollongong,Illawarra,shale,sandstone,,,,,
Bowen,Ingelara,conglomerate,mudstone,prograding shelf,offshore marine,"Fielding1993,Jones2006",,
Eddystone,Ingelara,siltstone,,prograding shelf,offshore marine,"Fielding1993,Jones2006",,
Emerald,Ingelara,siltstone,mudstone,prograding shelf,offshore marine,"Fielding1993,Jones2006",,
Springsure,Ingelara,siltstone,mudstone,prograding shelf,offshore marine,"Fielding1993,Jones2006",,
,Inglis,siltstone,mudstone,,,AGGA,,
Manilla,Ironbark Creek,sandstone,,,,,,
Wollongong,Jamberoo,tuff,,marine,freshwater,,,
Moreton,Jenny Lind,granite,,,,,,
,Jimba Jimba,calcilutite,sandstone,,,Mii2013,,
Emerald,Joe Joe,conglomerate,sandstone,lacustrine,fluvial,Jones2004,,
Jericho,Joe Joe,mudstone,sandstone,lacustrine,fluvial,Jones2004,,
Springsure,Joe Joe,conglomerate,sandstone,lacustrine,fluvial,Jones2004,,
Tambo,Joe Joe,siltstone,sandstone,lacustrine,fluvial,Jones2004,,
Moreton,Jollys Lookout,andesite,agglomerate,,,,,
Bowen,Kaloola,mudstone,siltstone,,,,,
Monto,Kaloola,siltstone,arenite,,,,,
,Kansas Creek,,,,,,,
Dorrigo,Kempsey,sandstone,mudstone,,,,,
Manilla,Kensington,conglomerate,siltstone,,,,,
Wollongong,Kiama,tuff,,,,,,
Moreton,Kimbala,diorite,,,,,,
Tamworth-Hastings,Kimbriki,diamictite,conglomerate,,,,,
Moreton,Kingaham Creek,diorite,,,,,,
Maryborough,Kolbar,siltstone,sandstone,,,,,
Tamworth-Hastings,Koogah,sandstone,mudstone,,,,,
Tamworth,Koogah,sandstone,shale,,,,,
Bowen,Kurungle,andesite,rhyolite,,,,,
Rockhampton,Kyle Mohr,diorite,tonalite,,,,,
,Lakes Creek,siltstone,sandstone,shelf,,AGGA,,
Sydney,Lambton,sandstone,siltstone,alluvial plain,delta plain,map,,
,Lightjack,mudstone,siltstone,shallow marine,,"Mii2013, AGGA",,
Wollongong,Lithgow,shale,sandstone,,,,,
Bowen,Lizzie Creek,basalt,andesite,alluvial,lacustrine,Fielding1993,,
Mount Coolon,Lizzie Creek,andesite,volcanics,alluvial,lacustrine,Fielding1993,,
Proserpine,Lizzie Creek,pyroclastics,shale,alluvial,lacustrine,Fielding1993,,
Saint Lawrence,Lizzie Creek,volcanics,sandstone,alluvial,lacustrine,Fielding1993,,
Sydney,Lochinvar,basalt,siltstone,sublittoral strand,marine shelf,map,,
Singleton,Lochinvar,siltstone,sandstone,sublittoral strand,marine shelf,map,,
Mackay,Lower Bowen,pyroclastics,basalt,,,,,
,Lower Marine Beds,,,,,,,
Tamworth-Hastings,Macleay,sandstone,mudstone,,,,,
Bowen,MacMillan,mudstone,siltstone,,,,,
Bowen,Macmillan,mudstone,siltstone,,,,,
,Madeline,,,,,,,
Sydney,Maitland,sandstone,shale,,,,,
,Malbina,siltstone,sandstone,lower shoreface-offshore transition,offshore marine,"Fielding2010, Reid2010, AGGA",,
,Mallens,wackestone,arenite,shoreface,offshore marine,"Lever2004, AGGA",,
Tamworth-Hastings,Manning,diamictite,conglomerate,,,,,
Maryborough,Mant,basalt,pyroclastics,,,,,
Duaringa,Maria,siltstone,mudstone,,,,,
Moreton,Marumba,mudstone,sandstone,,,,,
Moreton,Maryland,granite,,,,,,
Manilla,Maules Creek,claystone,sandstone,alluvial,lacustrine,"McMinn1993,Tadros1995",,
Dorrigo,McGraths Hump,metabasalt,dolerite,,,,,
,Mingenew,sandstone,shale,,,AGGA,,
Maryborough,Mingo,granite,diorite,,,,,
Wollongong,Minnamurra,latite,,,,,,
,Minnie Point,siltstone,sandstone,lower shoreface,,"Fielding2010, AGGA",,
Rockhampton,Miriam Vale,diorite,tonalite,,,,,
