Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
15764|Quilalar Formation|underlies|1621|Bigie Formation|unconformity|
17551|Surprise Creek Formation|overlies|1621|Bigie Formation|unconformity|
18576|Treuer Member|overlies|31356|Bigrlyi Member|conformity|
35396|Dead Bullock Formation|overlies|42069|Billabong Complex||
72402|Ferdies Member|overlies|42069|Billabong Complex||
19842|Westmoreland Conglomerate|overlies|1637|Billicumidji Rhyolite Member|unconformity|
143|Adori Sandstone|overlies|1729|Birkhead Formation|not specified|
488|Antrim Plateau Volcanics|overlies|1735|Birrindudu Group|unconformity|
30280|Browns Range Metamorphics|underlies|1735|Birrindudu Group|unconformity|
41161|Coomarie Suite|underlies|1735|Birrindudu Group||
25958|Inverway Metamorphics|underlies|1735|Birrindudu Group|unconformity|
9312|Katherine River Group|is equivalent to|1735|Birrindudu Group||
10414|Limbunya Group|overlies|1735|Birrindudu Group|conformity|
35400|Mount Charles Formation|underlies|1735|Birrindudu Group|unconformity|
41156|Nanny Goat Volcanics|underlies|1735|Birrindudu Group|unconformity|
14869|Pargee Sandstone|underlies|1735|Birrindudu Group|unconformity|
15983|Redcliff Pound Group|overlies|1735|Birrindudu Group||
26900|Slatey Creek Granite|underlies|1735|Birrindudu Group|not specified|
17763|Tanami Group|underlies|1735|Birrindudu Group|unconformity|
18275|Tolmer Group|is equivalent to|1735|Birrindudu Group||
571|Areyonga Formation|overlies|1758|Bitter Springs Formation|not specified|
3647|Carnegie Formation|overlies|1758|Bitter Springs Formation|not specified|
5300|Dean Quartzite|underlies|1758|Bitter Springs Formation|not specified|
8225|Heavitree Quartzite|underlies|1758|Bitter Springs Formation|not specified|
2782|Bucket Spring Member|overlies|1807|Black Point Sandstone Member|unconformity|
25260|Moonlight Valley Tillite|overlies|1807|Black Point Sandstone Member|unconformity|
16839|Shoal Reach Formation|underlies|1807|Black Point Sandstone Member|unconformity|
17153|Spencer Sandstone|underlies|1807|Black Point Sandstone Member|unconformity|
1990|Blue Hole Formation|underlies|1840|Black Springs Dolomite|conformity|
6892|Fraynes Formation|overlies|1840|Black Springs Dolomite|conformity|
18088|Thorntonia Limestone|overlies|1843|Black Stump Arkose|not specified|
42196|Wonnadinna Dolostone|overlies|1843|Black Stump Arkose|conformity|
26242|Yardida Tillite|underlies|1843|Black Stump Arkose|disconformity|
8205|Headleys Limestone|overlies|1854|Blackfella Rockhole Member|disconformity|
25905|Fargoo Tillite|underlies|27109|Blackfellow Creek Sandstone|disconformity|
25260|Moonlight Valley Tillite|overlies|27109|Blackfellow Creek Sandstone|conformity|or unconformity.
26141|Skinner Sandstone|underlies|27109|Blackfellow Creek Sandstone|disconformity|
9923|Kuriyippi Formation|underlies|77450|Blacktip Member|unconformity|
38423|Manga Mauda Member|overlies|1896|Blanche Creek Member|not specified|
18473|Tortachilla Limestone|underlies|1901|Blanche Point Formation|unconformity|
1758|Bitter Springs Formation|overlies|1931|Blatherskite Quartzite Member|conformity|
6584|Fenn Gap Conglomerate Member|underlies|1931|Blatherskite Quartzite Member|conformity|
1389|Beetle Creek Formation|underlies|1937|Blazan Shale|disconformity|
7137|Georgina Limestone|overlies|1937|Blazan Shale|not specified|
15774|Quita Formation|overlies|1937|Blazan Shale|conformity|
18088|Thorntonia Limestone|underlies|1937|Blazan Shale|disconformity|
29414|Dixon Range beds|is equivalent to|36765|Bloods Range Formation||
33810|Kulail Sandstone|overlies|36765|Bloods Range Formation|unconformity|
12780|Mount Harris Basalt|underlies|36765|Bloods Range Formation|not specified|
33811|Puntitjata Rhyolite|underlies|36765|Bloods Range Formation|conformity|
28261|Djagamara Formation|overlies|1963|Bloodwood Formation||
75550|Walbiri Dolostone|underlies|1963|Bloodwood Formation|conformity|
27035|Allamber Springs Granite|is intruded by|1981|Bludells Dolerite||
11911|Minglo Granite|is intruded by|1981|Bludells Dolerite||
1840|Black Springs Dolomite|overlies|1990|Blue Hole Formation|conformity|
33807|Campbell Springs Dolostone|overlies|1990|Blue Hole Formation|conformity|
27154|Farquharson Sandstone|underlies|1990|Blue Hole Formation|conformity|
16267|Rolling Downs Group|overlies|2034|Blythesdale Group|not specified|
15983|Redcliff Pound Group|is equivalent to|75576|Boee beds||
24156|Amesbury Quartzite|underlies|24190|Boko Formation|unconformity|
3865|Central Mount Stuart Formation|overlies|24190|Boko Formation|unconformity|or disconformity
6118|Elyuah Formation|overlies|24190|Boko Formation|unconformity|or disconformity
14610|Oorabra Arkose|overlies|24190|Boko Formation||
26328|Tops Member|overlies|24190|Boko Formation|disconformity|
19019|Utopia Quartzite|underlies|24190|Boko Formation|unconformity|
11530|McCaw Formation|overlies|33182|Bonanza Creek Formation|conformity|
25472|Shadforth Sandstone|underlies|33182|Bonanza Creek Formation|conformity|
11862|Milligans Formation|overlies|2161|Bonaparte Formation|unconformity|
5617|Dook Creek Formation|overlies|30417|Bone Creek Sandstone|conformity|
27994|Gundi Sandstone|underlies|30417|Bone Creek Sandstone|not specified|
27994|Gundi Sandstone|underlies|30417|Bone Creek Sandstone|unconformity|
9312|Katherine River Group|underlies|30417|Bone Creek Sandstone|unconformity|
19780|West Branch Volcanics|underlies|30417|Bone Creek Sandstone|not specified|
28624|Jervois Granite|intrudes|24746|Bonya Schist||
26019|Mascotte Gneiss Complex|underlies|24746|Bonya Schist|not specified|
14610|Oorabra Arkose|overlies|24746|Bonya Schist|unconformity|
26131|Samarkand Pegmatite|intrudes|24746|Bonya Schist||
24864|Constance Sandstone|overlies|74651|Boodjamulla Formation|unconformity|
1758|Bitter Springs Formation|underlies|2275|Boord Formation|not specified|
3647|Carnegie Formation|overlies|2275|Boord Formation|not specified|
3647|Carnegie Formation|underlies|2275|Boord Formation|not specified|
6108|Ellis Sandstone|overlies|2275|Boord Formation|not specified|
69780|Lander Rock Formation|is intruded by|28156|Boothby Orthogneiss||
25768|Attack Creek Formation|underlies|32406|Bootu Formation|conformity|
38418|Carmilly Formation|overlies|32406|Bootu Formation|not specified|
6577|Fenelon Formation|underlies|2312|Borde Formation||
3168|Burt Range Formation|underlies|2314|Border Creek Formation|disconformity|
26849|Point Spring Sandstone|underlies|2314|Border Creek Formation|not specified|
16758|Septimus Limestone|underlies|2314|Border Creek Formation|disconformity|
21089|Zimmermann Sandstone|underlies|2314|Border Creek Formation|disconformity|
5070|Currant Bush Limestone|overlies|2321|Border Waterhole Formation|disconformity|
11575|McNamara Group|underlies|2321|Border Waterhole Formation|unconformity|
18088|Thorntonia Limestone|overlies|2321|Border Waterhole Formation|not specified|
18425|Top Rocky Rhyolite|underlies|2321|Border Waterhole Formation|unconformity|
41160|Inningarra Suite|is intruded by|42072|Borefield Road Suite||
17763|Tanami Group|is intruded by|42072|Borefield Road Suite||
332|Alsace Quartzite|underlies|2347|Bortala Formation|conformity|
19939|Whitworth Quartzite|overlies|2347|Bortala Formation|conformity|
8130|Haslingden Group|overlies|2360|Bottletree Formation|unconformity|
20835|Yappo Member|overlies|2360|Bottletree Formation|conformity|
19928|Whitewater Volcanics|is intruded by|2394|Bow River Granite||
37729|Crow Formation|overlies|37730|Bowgan Sandstone|conformity|
6118|Elyuah Formation|is equivalent to|28396|Brachina Formation||
21914|Grindall Formation|underlies|2472|Bradshaw Complex|not specified|
29406|Spencer Creek Group|overlies|2472|Bradshaw Complex|not specified|
23310|Yirrkala Formation|overlies|2472|Bradshaw Complex|not specified|
8769|Irindina Gneiss|underlies|2476|Brady Gneiss||
37731|Buddycurrawa Volcanics|overlies|37732|Breakfast Sandstone|conformity|
68733|Connellys Volcanics|underlies|37732|Breakfast Sandstone|unconformity|
13528|Murphy Metamorphics|underlies|37732|Breakfast Sandstone|unconformity|
8291|Hermannsburg Sandstone|underlies|2526|Brewer Conglomerate|not specified|
18088|Thorntonia Limestone|underlies|24198|Bronco Stromatolith Bed|not specified|
18515|Townsend Quartzite|underlies|2683|Browne Formation|disconformity|
1735|Birrindudu Group|overlies|30280|Browns Range Metamorphics|unconformity|
7009|Gardiner Sandstone|overlies|30280|Browns Range Metamorphics|unconformity|
8199|Hayward Creek Formation|overlies|21342|Brumbreu Formation|conformity|
18318|Tomkinson Creek Group|overlies|21342|Brumbreu Formation|not specified|
23268|Wundirgi Formation|underlies|21342|Brumbreu Formation|conformity|
38037|Drummond Formation|underlies|38038|Brumby Formation (NT)|conformity|
16787|Shady Bore Quartzite|overlies|38038|Brumby Formation (NT)|not specified|
6207|Entia Gneiss Complex|underlies|27349|Bruna Gneiss||
75721|Leaky Norite|intermingles with|27349|Bruna Gneiss||
76092|Anthony Lagoon Formation|underlies|2718|Brunette Limestone|unconformity|
68909|Camooweal Dolostone|underlies|2718|Brunette Limestone|unconformity|
