genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Gilledia,cymbaeformis,279.500,265.000,4,0,NaN
Gilledia,fairylandensis,290.100,279.500,2,0,NaN
Gilledia,homevalensis,290.100,265.000,15,6,0.5913
Gilledia,jervisensis,272.500,268.000,1,0,NaN
Gilledia,oakiensis,290.100,265.000,4,0,NaN
Gilledia,pelicanensis,272.500,265.000,7,0,NaN
Gilledia,sp.,290.100,265.000,6,1,0.0115
Gilledia,ulladullensis,279.500,265.000,18,8,0.0456
Gilledia,woolagensis,290.100,272.500,3,1,0.0556
Gjelispinifera,decipiens,295.000,290.100,2,0,NaN
Gjelispinifera,sp.,259.000,254.000,1,0,NaN
Glabauria,davidi,290.100,272.500,13,0,NaN
Glabauria,hanloni,279.500,268.000,39,0,NaN
Glabauria,runnegari,272.500,268.000,7,0,NaN
Glendonia,duodecimcostata,290.100,265.000,30,6,0.5804
Glendonia,exigua,268.000,265.000,5,4,0.0205
Glendonia,ulladullensis,279.500,268.000,9,0,NaN
Glossothyropsis,sp.,265.000,259.000,1,0,NaN
Hemiptychina,sp.,290.100,268.000,2,1,0.0303
Heteralosia,complectens,290.100,272.500,3,0,NaN
Heteralosia,"sp. A",290.100,279.500,1,1,0.3333
Heteralosia,"sp. B",272.500,268.000,2,1,1.0000
Hoskingia,grandis,290.100,254.000,9,2,0.2887
Hoskingia,kennediensis,279.500,272.500,2,0,NaN
Hoskingia,nobilis,290.100,272.500,6,2,0.1637
Hoskingia,skwarkoi,290.100,279.500,1,1,0.0556
Hoskingia,sp.,279.500,272.500,1,1,0.0036
Hoskingia,trigonopsis,290.100,279.500,9,3,0.6822
Hoskingia,wandageensis,290.100,272.500,13,6,0.5032
Hustedia,sp.,259.000,254.000,1,0,NaN
Hustedia,"sp. nov",259.000,254.000,1,0,NaN
Imperiospira,campbelli,279.500,268.000,5,4,0.7598
Imperiospira,dickinsi,295.000,290.100,3,2,1.0000
Imperiospira,franzjosefi,290.100,272.500,8,7,0.5656
Imperiospira,"sp. A",290.100,279.500,1,1,1.0000
Imperiospira,"sp. B",279.500,272.500,1,1,1.0000
Inflatia,elegans,345.300,326.400,6,0,NaN
Inflatia,inflata,345.300,326.400,1,0,NaN
Inflatia,simplex,345.300,326.400,4,0,NaN
Inflatia,sp.,345.300,326.400,2,0,NaN
Ingelarella,angulata,290.100,259.000,10,3,0.0729
Ingelarella,belfordensis,279.500,272.500,14,0,NaN
Ingelarella,cessnockensis,279.500,272.500,13,0,NaN
Ingelarella,costata,279.500,272.500,12,0,NaN
Ingelarella,davidi,279.500,272.500,5,0,NaN
Ingelarella,elegantula,295.000,290.100,1,0,NaN
Ingelarella,etheridgei,290.100,272.500,17,0,NaN
Ingelarella,globosa,268.000,265.000,2,0,NaN
Ingelarella,ingelarensis,290.100,259.000,23,8,0.2806
Ingelarella,mantuanensis,279.500,259.000,45,28,0.0581
Ingelarella,pelicanensis,268.000,265.000,3,0,NaN
Ingelarella,plica,290.100,279.500,14,3,0.1975
Ingelarella,singletonensis,272.500,268.000,2,0,NaN
Ingelarella,sp.,290.100,259.000,4,0,NaN
Ingelarella,"sp. nov. A",279.500,272.500,2,0,NaN
Ingelarella,"sp. nov. B",279.500,272.500,1,0,NaN
Ingelarella,strzeleckii,290.100,279.500,2,0,NaN
Ingelarella,undulosa,290.100,265.000,9,0,NaN
Ingelarella,warneri,279.500,272.500,4,0,NaN
Johndearia,brevis,290.100,268.000,18,0,NaN
Johndearia,isbelli,290.100,265.000,23,2,0.0203
Johndearia,magna,279.500,259.000,22,10,0.0570
Kelsovia,sp.,290.100,279.500,1,0,NaN
Kelsovia,superba,295.000,290.100,3,0,NaN
Kelsovia,undulata,290.100,279.500,2,2,0.7762
Kiangsiella,condoni,290.100,272.500,7,4,0.3397
Kiangsiella,"sp. A",298.900,295.000,1,1,1.0000
Kiangsiella,"sp. B",290.100,272.500,5,3,0.6525
Kitakamithyris,booralensis,326.400,318.100,9,0,NaN
Kitakamithyris,rouchelensis,360.700,345.300,5,0,NaN
Kitakamithyris,sp.,360.700,326.400,3,0,NaN
Kitakamithyris,triseptata,336.000,326.400,21,0,NaN
