**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
CH/f0106		Outcrop						Maxwell, P.A.; 	1991	Opoitian		Mangapanian		5.3	2.4	LOWER Wo-Wm. ADOPTED AGE.	GNS GS 10193	REFER NZGS BULL. 105 (1991).	
CH/f0110		Outcrop															GNS GS 10469	NO LIST.	
CH/f0110		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 10469	REFER NZGS BULL. 105 (1991).	
CH/f0111		Outcrop						Buckeridge, J.; 	1984	Bortonian		Runangan		42.6	34.6	BY STRATIG.	GNS GS 10790	DET. PUBLISHED JRSNZ 14 (4): 324, Fig. 17 (1984).	
CH/f0111		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 10790	REFER NZGS BULL. 105 (1991).	
CH/f0112		Outcrop						Beu, A.G.; 		not determined				999.9	0.0	PROB. D-A.	GNS GS 11251	ONLY CALCITE AND PHOSPHATIC ANIMALS ARE WELL PRESERVED, THE REST ARE NATURAL MOULDS ONLY; i.e. ARAGONITE REMOVED.	
CH/f0112		Outcrop						Beu, A.G.; 	1991	Teurian				66.0	56.0	ADOPTED AGE.	GNS GS 11251	REFER NZGS BULL. 105 (1991).	
CH/f0114		Outcrop						Beu, A.G.; 	September 11, 1974								GNS GS 11252		
CH/f0114		Outcrop						Beu, A.G.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 11252	REFER NZGS BULL 105 (1991).	
CH/f0114		Outcrop						Simes, J.E.; 	November 4, 2014							Teurian to Waipawan from stratigraphy	GNS GS 11252	Fabulous specimen. Species described by Buckeridge, Kelly et. al. 2013	
CH/f0115		Outcrop						Beu, A.G.; 	September 11, 1974								GNS GS 11253	MANY POOR BRYOZOANS AND MISCELLANEA, MOST DISCARDED.	
CH/f0115		Outcrop						Beu, A.G.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 11253	REFER NZGS BULL. 105 (1991).	
CH/f0116		Outcrop						Beu, A.G.; 		not determined				999.9	0.0		GNS GS 11254	HARD, WHITE LIMESTONE: APPEARS TO HAVE MANY POOR LARGE FORAMS - ?Asterocyclina.	
CH/f0116		Outcrop						Beu, A.G.; 	1991	Waipawan				56.0	53.7	ADOPTED AGE.	GNS GS 11254	REFER NZGS BULL. 105 (1991).	
CH/f0222		Outcrop	0901756					Beu, A.G.; 	February 14, 1975	not determined				999.9	0.0	GIVES NO INFORMATION.	GNS GS 11564	Acesta SEEMS MAINLY A DEEP-WATER GENUS TODAY (AT LEAST BELOW THE CONTINENTAL SHELF) BUT SOME EVIDENCE WAS SHALLOWER EARLY IN TERTIARY. SURPRISING TO FIND ONLY A FEW CM ABOVE LAVA.	
CH/f0222		Outcrop	0901756					Beu, A.G.; 	1991	Teurian				66.0	56.0	ADOPTED AGE.	GNS GS 11564	REFER NZGS BULL. 105 (1991).	
CH/f0222A		Outcrop						Beu, A.G.; 		Teurian				66.0	56.0		GNS GS 12171	NO LIST.	
CH/f0222A		Outcrop						Beu, A.G.; 	1991	Teurian				66.0	56.0	ADOPTED AGE.	GNS GS 12171	REFER NZGS BULL. 105 (1991).	
CH/f0232		Outcrop								Teurian		Waipawan		66.0	53.7	PROVIDED BY FORAMS - NZGS BULL 83: 230.	GNS GS 11653		
CH/f0232		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	LATE Dt-EARLY Dw.	GNS GS 11653	REFER NZGS BULL. 105 (1991).	
CH/f0232A		Outcrop															GNS GS 12176	NO LIST.	
CH/f0232A		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	LATE Dt - EARLY Dw - ADOPTED AGE.	GNS GS 12176	REFER NZGS BULL. 105 (1991).	
CH/f0244		Outcrop	10					Beu, A.G.; 	April 4, 1989	Waipipian				3.7	3.0	SIMILAR FAUNA TO WHENUATARU TUFF.	GNS GS 11778	RELISTED.	
CH/f0244		Outcrop	10					Beu, A.G.; 	1991	Opoitian		Waipipian		5.3	3.0	LATE Wo-Wp. ADOPTED AGE.	GNS GS 11778	REFER NZGS BULL. 105 (1991).	
CH/f0246		Outcrop	14					Beu, A.G.; 	April 4, 1989	Waipipian	?			3.7	3.0	- M. solomoni RECORDED PREVIOUSLY ONLY FROM WHENUATARU TUFF.	GNS GS 11779	RELISTED.	
CH/f0246		Outcrop	14					Beu, A.G.; 	1991	Opoitian		Mangapanian		5.3	2.4	LATE Wo-Wm. ADOPTED AGE.	GNS GS 11779	REFER NZGS BULL. 105 (1991).	
CH/f0254A		Outcrop															GNS GS 12140	TO DR. E.P.F. ROSE -/6/1977.	
CH/f0254A		Outcrop						Beu, A.G.; 	1991	Waipawan				56.0	53.7	ADOPTED AGE.	GNS GS 12140	REFER NZGS BULL. 105 (1991).	
CH/f0261A		Outcrop						Buckeridge, J.; 	1979	Nukumaruan				2.4	1.63		GNS GS 12170	DET. PUBLISHED PAL. BULL. 50: 110.	
CH/f0261A		Outcrop						Beu, A.G.; 	1991	Nukumaruan				2.4	1.63	ADOPTED AGE.	GNS GS 12170	REFER NZGS BULL. 105 (1991).	
CH/f0344		Outcrop						Speden, I.G.; 	March 17, 1977	not determined				999.9	0.0		GNS GS 12123		
CH/f0344		Outcrop						Beu, A.G.; 	1991	Ngaterian				99.5	95.2	ADOPTED AGE.	GNS GS 12123	REFER NZGS BULL. 105 (1991).	
CH/f0364A		Outcrop						Beu, A.G.; 	October 25, 1977								GNS GS 12183		
CH/f0364A		Outcrop						Maxwell, P.A.; 	1991	Opoitian				5.3	3.7	EARLY Wo - ADOPTED AGE.	GNS GS 12183	REFER NZGS BULL. 105 (1991).	
CH/f0463		Outcrop						Keyes, I.W.; 		Bortonian	?			42.6	39.1		GNS GS 12147		
CH/f0463		Outcrop						Beu, A.G.; 	1991	Bortonian		Kaiatan		42.6	36.4	ADOPTED AGE.	GNS GS 12147	REFER NZGS BULL. 105 (1991).	
