taxon_name	int_midpoint	taxon	sub	size
Leguminaia	0.01	Biv	nonHet	78.05
Leila	0.01	Biv	nonHet	42.9
Leiomya	0.01	Biv	nonHet	5.8
Leiosolenus	0.01	Biv	nonHet	120
Leiovirgus	0.01	Biv	nonHet	63.725
Lembulus	0.01	Biv	nonHet	38
Lens	0.01	Biv	nonHet	64.4375
Lentidium	0.01	Biv	Het	10
Leopecten	0.01	Biv	nonHet	150
Lepidocardia	0.01	Biv	nonHet	30
Lepidodesma	0.01	Biv	nonHet	139.225
Leporimetis	0.01	Biv	Het	63.16
Leptesthes	0.01	Biv	Het	52.4
Leptodea	0.01	Biv	nonHet	89.88
Leptomya	0.01	Biv	Het	43.2
Leptomyaria	0.01	Biv	Het	4.9
Lepton	0.01	Biv	Het	8.9875
Leptopecten	0.01	Biv	nonHet	71
Leuroactis	0.01	Biv	Het	100.7
Lexingtonia	0.01	Biv	nonHet	38.41
Lima	0.01	Biv	nonHet	158
Limaria	0.01	Biv	nonHet	58.4
Limatulella	0.01	Biv	nonHet	20.37142857
Limea	0.01	Biv	nonHet	5.3
Limnoperna	0.01	Biv	nonHet	47
Limopsis	0.01	Biv	nonHet	33.67
Lindapecten	0.01	Biv	nonHet	100.7
Linga	0.01	Biv	Het	20.30555556
Linucula	0.01	Biv	nonHet	7
Lioberus	0.01	Biv	nonHet	50
Lioconcha	0.01	Biv	nonHet	58.7
Liocyma	0.01	Biv	nonHet	45
Lionelita	0.01	Biv	Het	14.97916667
Lirophora	0.01	Biv	nonHet	58
Lissarca	0.01	Biv	nonHet	8
Lissochlamis	0.01	Biv	nonHet	52.51428571
Litharca	0.01	Biv	nonHet	87
Lithophaga	0.01	Biv	nonHet	147
Lituyapecten	0.01	Biv	nonHet	125.4102564
Longimactra	0.01	Biv	Het	96.88
Lopha	0.01	Biv	nonHet	110
Lophocardium	0.01	Biv	Het	57.1
Loringella	0.01	Biv	nonHet	34
Loripes	0.01	Biv	nonHet	12.95416667
Lortiella	0.01	Biv	nonHet	92.2
Loxoptychodon	0.01	Biv	Het	13.73
Lucina	0.01	Biv	Het	54.7125
Lucinella	0.01	Biv	nonHet	8.81
Lucinisca	0.01	Biv	Het	13.84
Lunulicardia	0.01	Biv	nonHet	73
Luteacarnea	0.01	Biv	nonHet	62.31428571
Lutetia	0.01	Biv	nonHet	2.281
Lutraria	0.01	Biv	Het	168
Lutromactra	0.01	Biv	Het	51.1
Lutrophora	0.01	Biv	Het	119
Lyonsia	0.01	Biv	nonHet	57
Lyratellina	0.01	Biv	Het	43.04285714
Lyrocardium	0.01	Biv	Het	72.4
Lyropecten	0.01	Biv	nonHet	187.2666667
Macalia	0.01	Biv	nonHet	33.19
Macaliopsis	0.01	Biv	Het	40.39
Machaerodonax	0.01	Biv	Het	45
Macoma	0.01	Biv	Het	33.275
Macomona	0.01	Biv	Het	85.4
Macoploma	0.01	Biv	Het	61.56666667
