taxon_name	int_midpoint	taxon	sub	size
Eurhomalea	3.09	Biv	nonHet	106
Eurytellina	3.09	Biv	Het	36.57
Euvola	3.09	Biv	nonHet	127.4
Felaniella	3.09	Biv	Het	17.04
Flabellipecten	3.09	Biv	nonHet	78.7
Flexopecten	3.09	Biv	nonHet	90.7
Florimetis	3.09	Biv	nonHet	49
Fortipecten	3.09	Biv	nonHet	131.125
Fragum	3.09	Biv	Het	76
Gari	3.09	Biv	Het	60
Gastrana	3.09	Biv	nonHet	24.42
Gastrochaena	3.09	Biv	nonHet	57
Geloina	3.09	Biv	Het	98.28
Gemma	3.09	Biv	nonHet	4.25
Globivenus	3.09	Biv	nonHet	121.7
Gloripallium	3.09	Biv	nonHet	108.6
Glossus	3.09	Biv	Het	100
Glycymeris	3.09	Biv	nonHet	115
Gobraeus	3.09	Biv	Het	148.6
Gonimyrtea	3.09	Biv	nonHet	9.0525
Goodallia	3.09	Biv	Het	3.4
Gouldia	3.09	Biv	Het	180
Haliris	3.09	Biv	nonHet	13
Halonympha	3.09	Biv	nonHet	18.7
Haumea	3.09	Biv	nonHet	40.3
Hawaiarca	3.09	Biv	nonHet	26.2
Hemidonax	3.09	Biv	nonHet	47.8
Hemimactra	3.09	Biv	Het	226
Hemimetis	3.09	Biv	Het	56.5
Heteranomia	3.09	Biv	nonHet	22
Hiatella	3.09	Biv	Het	59.7
Hinnites	3.09	Biv	nonHet	180
Humilaria	3.09	Biv	nonHet	95
Hybolophus	3.09	Biv	Het	57.08571429
Hyotissa	3.09	Biv	nonHet	271
Hyphantosoma	3.09	Biv	nonHet	87.1
Hysteroconcha	3.09	Biv	nonHet	100
Ischadium	3.09	Biv	nonHet	68.9
Isocrassina	3.09	Biv	Het	24.04166667
Isognomon	3.09	Biv	nonHet	253.5
Jouannetia	3.09	Biv	Het	50.9
Juliacorbula	3.09	Biv	nonHet	19
Jupiteria	3.09	Biv	nonHet	17.5
Juxtamusium	3.09	Biv	nonHet	35
Keenocardium	3.09	Biv	nonHet	76
Kellia	3.09	Biv	nonHet	9.5825
Kelliella	3.09	Biv	nonHet	15
Kuphus	3.09	Biv	Het	505
Laevicardium	3.09	Biv	Het	190
Laevichlamys	3.09	Biv	nonHet	96.4
Lamelliconcha	3.09	Biv	nonHet	58.6
Lamellinucula	3.09	Biv	nonHet	35
Larkinia	3.09	Biv	nonHet	156
Lasaea	3.09	Biv	nonHet	3.304
Lentidium	3.09	Biv	Het	10
Leporimetis	3.09	Biv	Het	63.16
Lepton	3.09	Biv	Het	8.9875
Leptopecten	3.09	Biv	nonHet	71
Lima	3.09	Biv	nonHet	158
Limaria	3.09	Biv	nonHet	58.4
Limatula	3.09	Biv	nonHet	40.96
Limatulella	3.09	Biv	nonHet	20.37142857
Limea	3.09	Biv	nonHet	5.3
Limopsis	3.09	Biv	nonHet	33.67
Lindapecten	3.09	Biv	nonHet	100.7
Linga	3.09	Biv	Het	20.30555556
Lioconcha	3.09	Biv	nonHet	58.7
Lirophora	3.09	Biv	nonHet	58
Lithophaga	3.09	Biv	nonHet	147
Lopha	3.09	Biv	nonHet	110
Lophocardium	3.09	Biv	Het	57.1
Lucina	3.09	Biv	Het	54.7125
Lucinella	3.09	Biv	nonHet	8.81
Lucinisca	3.09	Biv	Het	13.84
Lunarca	3.09	Biv	nonHet	76
Lunulicardia	3.09	Biv	nonHet	73
Lutraria	3.09	Biv	Het	168
Lyonsia	3.09	Biv	nonHet	57
Macaliopsis	3.09	Biv	Het	40.39
Macoma	3.09	Biv	Het	33.275
Macomona	3.09	Biv	Het	85.4
Macoploma	3.09	Biv	Het	61.56666667
Macrocallista	3.09	Biv	nonHet	188
Mactra	3.09	Biv	Het	126
Mactromeris	3.09	Biv	Het	167
Mactrotoma	3.09	Biv	nonHet	118
Manupecten	3.09	Biv	nonHet	86.5
Margaritaria	3.09	Biv	nonHet	76.78
Martesia	3.09	Biv	Het	45.23333333
Megapitaria	3.09	Biv	nonHet	129.7
Megaxinus	3.09	Biv	Het	20.2625
Melliteryx	3.09	Biv	nonHet	8.28125
Mercenaria	3.09	Biv	nonHet	168
Meretrix	3.09	Biv	nonHet	138.9
Merisca	3.09	Biv	Het	40.86
Mesodesma	3.09	Biv	nonHet	100
Mesopleura	3.09	Biv	Het	103
Microcardium	3.09	Biv	Het	26.5
Mimachlamys	3.09	Biv	nonHet	230
Mizuhopecten	3.09	Biv	nonHet	214
Modiolula	3.09	Biv	nonHet	33.47
Modiolus	3.09	Biv	nonHet	213
Moerella	3.09	Biv	Het	27.41
Monia	3.09	Biv	nonHet	128.4
Montacuta	3.09	Biv	nonHet	3.3925
Mulinia	3.09	Biv	nonHet	78
Musculus	3.09	Biv	nonHet	80
Mya	3.09	Biv	Het	200
Myadora	3.09	Biv	nonHet	46
Myochama	3.09	Biv	nonHet	30
Myrtea	3.09	Biv	Het	25.37142857
Mysella	3.09	Biv	Het	4.14375
Mytilopsis	3.09	Biv	Het	38
Mytilus	3.09	Biv	nonHet	258
Nemocardium	3.09	Biv	Het	81.5
Neopycnodonte	3.09	Biv	nonHet	80
Nodipecten	3.09	Biv	nonHet	226.5
Noetia	3.09	Biv	nonHet	80
Notocallista	3.09	Biv	nonHet	80
Notocorbula	3.09	Biv	Het	28
Nucinella	3.09	Biv	nonHet	25
Nucula	3.09	Biv	nonHet	28.1
Nuculana	3.09	Biv	nonHet	35.6
Ostrea	3.09	Biv	nonHet	190
Ostreola	3.09	Biv	nonHet	51
Ovalarca	3.09	Biv	nonHet	2.6525
Palliolum	3.09	Biv	nonHet	37.15
Pandora	3.09	Biv	nonHet	48.3
Pandorella	3.09	Biv	nonHet	60
Panomya	3.09	Biv	Het	179
Panopea	3.09	Biv	Het	295
Papillicardium	3.09	Biv	nonHet	25
Paradione	3.09	Biv	nonHet	97.1
Paradonax	3.09	Biv	Het	35
Paramya	3.09	Biv	Het	15
Parastarte	3.09	Biv	nonHet	3.8
Parvicardium	3.09	Biv	nonHet	20
Parvilucina	3.09	Biv	Het	10.80227273
Patinopecten	3.09	Biv	nonHet	288
Pecten	3.09	Biv	nonHet	197.9
Pectunculina	3.09	Biv	nonHet	18.61
Periglypta	3.09	Biv	nonHet	153.1
Periploma	3.09	Biv	nonHet	65.6
Perna	3.09	Biv	nonHet	191
Peronaea	3.09	Biv	Het	44.52857143
Peronidia	3.09	Biv	Het	66.54285714
Phaxas	3.09	Biv	Het	41
Phlogocardia	3.09	Biv	nonHet	57.4
Phlyctiderma	3.09	Biv	nonHet	10.0925
Pholadidea	3.09	Biv	Het	51.2
Pholadomya	3.09	Biv	nonHet	120
Pholas	3.09	Biv	Het	159
Pinctada	3.09	Biv	nonHet	359.3
Pinna	3.09	Biv	nonHet	1200
Pitar	3.09	Biv	Het	90
Placamen	3.09	Biv	nonHet	45
Placopecten	3.09	Biv	nonHet	230
Placuna	3.09	Biv	nonHet	225.7
Placunanomia	3.09	Biv	nonHet	107.94
Pleiorytis	3.09	Biv	nonHet	49.94
Pleurolucina	3.09	Biv	Het	10.96111111
Pleuromeris	3.09	Biv	nonHet	20
Plicatula	3.09	Biv	nonHet	52.1
Pliocardia	3.09	Biv	nonHet	114
Poromya	3.09	Biv	nonHet	64
Portlandia	3.09	Biv	nonHet	31
Potiarca	3.09	Biv	nonHet	54.4
Propeleda	3.09	Biv	nonHet	26
Protapes	3.09	Biv	nonHet	80
Protocardia	3.09	Biv	Het	41.02
