taxon_name	taxon	sub	size	int_midpoint
Ciliatocardium	Biv	nonHet	86.7	3.09
Circe	Biv	Het	64.9	3.09
Circomphalus	Biv	nonHet	83	3.09
Clausinella	Biv	nonHet	30	3.09
Clidiophora	Biv	nonHet	39	3.09
Clinocardium	Biv	nonHet	146	3.09
Cnesterium	Biv	nonHet	50	3.09
Cochlodesma	Biv	nonHet	44	3.09
Codakia	Biv	Het	76.4375	3.09
Conchocele	Biv	Het	28.35714286	3.09
Coralichlamys	Biv	nonHet	29	3.09
Corbicula	Biv	Het	23.13	3.09
Corbula	Biv	Het	26.3	3.09
Costacallista	Biv	nonHet	93.3	3.09
Costelloleda	Biv	nonHet	40	3.09
Crassadoma	Biv	nonHet	266.7	3.09
Crassatella	Biv	Het	102.36	3.09
Crassinella	Biv	nonHet	10	3.09
Crassostrea	Biv	nonHet	450	3.09
Crenella	Biv	nonHet	10	3.09
Cryptomya	Biv	Het	37	3.09
Cryptopecten	Biv	nonHet	43.52	3.09
Cucullaea	Biv	nonHet	136.5	3.09
Cucullaearca	Biv	nonHet	134	3.09
Cumingia	Biv	nonHet	52	3.09
Cunearca	Biv	nonHet	78	3.09
Cuspidaria	Biv	nonHet	62.5	3.09
Cyamium	Biv	Het	12.7	3.09
Cyathodonta	Biv	nonHet	73	3.09
Cycladicama	Biv	Het	18.205	3.09
Cyclinella	Biv	nonHet	81.3	3.09
Cyclocardia	Biv	Het	60	3.09
Cyclopecten	Biv	nonHet	25	3.09
Cymatoica	Biv	Het	17.345	3.09
Cyprimeria	Biv	nonHet	50.82	3.09
Cyrtodaria	Biv	Het	90	3.09
Cyrtopleura	Biv	Het	57.81	3.09
Dallocardia	Biv	nonHet	143.6	3.09
Decatopecten	Biv	nonHet	73.3	3.09
Dendostrea	Biv	nonHet	120	3.09
Diberus	Biv	nonHet	72.5	3.09
Digitaria	Biv	nonHet	10	3.09
Digitariopsis	Biv	Het	6.753571429	3.09
Dimya	Biv	nonHet	21.3	3.09
Diplodonta	Biv	Het	13.15333333	3.09
Divalinga	Biv	Het	17.89	3.09
Divaricella	Biv	Het	41.93	3.09
Donax	Biv	Het	85.8	3.09
Dosina	Biv	nonHet	66	3.09
Eastonia	Biv	nonHet	85.3	3.09
Elliptotellina	Biv	Het	10.805	3.09
Ennucula	Biv	nonHet	36.3	3.09
Ensis	Biv	nonHet	250	3.09
Ensisolen	Biv	nonHet	120	3.09
Ensitellops	Biv	nonHet	12.1	3.09
Eontia	Biv	nonHet	78.3	3.09
Epicodakia	Biv	nonHet	17.01304348	3.09
Equichlamys	Biv	nonHet	135	3.09
Ervilia	Biv	nonHet	15	3.09
Erycina	Biv	Het	8.525	3.09
Eucrassatella	Biv	Het	121	3.09
Eurhomalea	Biv	nonHet	106	3.09
Eurytellina	Biv	Het	36.57	3.09
Euvola	Biv	nonHet	127.4	3.09
Felaniella	Biv	Het	17.04	3.09
Flabellipecten	Biv	nonHet	78.7	3.09
Flexopecten	Biv	nonHet	90.7	3.09
Florimetis	Biv	nonHet	49	3.09
Fortipecten	Biv	nonHet	131.125	3.09
Fragum	Biv	Het	76	3.09
Fulvia	Biv	nonHet	100	3.09
Gari	Biv	Het	60	3.09
Gastrana	Biv	nonHet	24.42	3.09
Gastrochaena	Biv	nonHet	57	3.09
Geloina	Biv	Het	98.28	3.09
Gemma	Biv	nonHet	4.25	3.09
Geukensia	Biv	nonHet	133	3.09
Globivenus	Biv	nonHet	121.7	3.09
